2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.397,0.403,0.390,0.370,0.353,0.339,0.308,0.284,0.288,0.230,0.225
0.249,0.254,0.241,0.229,0.212,0.199,0.174,0.158,0.174,0.135,0.140
0.195,0.193,0.194,0.202,0.200,0.197,0.191,0.184,0.189,0.160,0.163
0.358,0.365,0.344,0.319,0.295,0.281,0.248,0.210,0.234,0.176,0.180
0.180,0.181,0.176,0.180,0.175,0.174,0.162,0.149,0.155,0.133,0.132
0.424,0.437,0.398,0.371,0.342,0.325,0.295,0.276,0.308,0.257,0.273
0.277,0.283,0.272,0.270,0.257,0.252,0.230,0.218,0.227,0.187,0.161
0.310,0.317,0.298,0.285,0.261,0.246,0.216,0.192,0.210,0.166,0.169
0.366,0.382,0.371,0.356,0.337,0.328,0.296,0.255,0.281,0.220,0.222
0.365,0.362,0.340,0.330,0.309,0.294,0.268,0.251,0.259,0.219,0.218
0.469,0.490,0.430,0.397,0.366,0.348,0.298,0.277,0.302,0.245,0.247
0.379,0.376,0.354,0.331,0.311,0.289,0.256,0.238,0.241,0.210,0.206
0.439,0.442,0.391,0.359,0.330,0.312,0.268,0.244,0.261,0.208,0.213
0.247,0.259,0.242,0.234,0.212,0.197,0.170,0.147,0.175,0.125,0.129
0.189,0.190,0.193,0.203,0.201,0.200,0.196,0.184,0.191,0.158,0.165
0.258,0.264,0.259,0.250,0.237,0.222,0.201,0.179,0.199,0.156,0.160
0.294,0.302,0.286,0.274,0.257,0.243,0.215,0.197,0.214,0.171,0.138
0.478,0.487,0.461,0.434,0.409,0.383,0.344,0.324,0.345,0.296,0.306
0.303,0.303,0.279,0.265,0.251,0.238,0.209,0.203,0.220,0.194,0.205
0.161,0.168,0.162,0.161,0.150,0.136,0.123,0.119,0.135,0.110,0.117
0.378,0.382,0.357,0.344,0.327,0.316,0.290,0.276,0.273,0.234,0.234
0.360,0.364,0.343,0.333,0.317,0.305,0.277,0.260,0.265,0.227,0.226
0.220,0.223,0.206,0.197,0.183,0.175,0.159,0.151,0.162,0.133,0.131
0.459,0.471,0.419,0.382,0.343,0.320,0.272,0.246,0.276,0.198,0.201
0.291,0.299,0.290,0.271,0.250,0.230,0.193,0.177,0.198,0.141,0.147
0.125,0.122,0.114,0.114,0.105,0.100,0.088,0.083,0.096,0.081,0.085
0.375,0.377,0.339,0.323,0.314,0.307,0.286,0.276,0.282,0.246,0.232
0.180,0.182,0.178,0.180,0.174,0.166,0.153,0.143,0.153,0.122,0.098
0.605,0.630,0.553,0.509,0.459,0.436,0.379,0.344,0.392,0.287,0.303
0.362,0.372,0.345,0.326,0.304,0.283,0.250,0.233,0.243,0.189,0.194
0.265,0.267,0.255,0.244,0.224,0.216,0.192,0.186,0.203,0.167,0.172
