2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
24696,26050,26653,27792,29088,28728,28660,31994,31795,33126,32996,33568,37059,37214,36323,36705,37959,32093
25755,26068,30210,30518,30795,31652,30923,33007,34468,35013,34077,33062,33044,33766,34936,34730,35315,36818
22580,23559,23517,24723,24617,28162,28847,30375,31305,31988,30821,31812,30833,32463,31878,33367,32666,33857
23726,24164,24071,29790,25416,27371,29712,28503,29631,31033,29353,29609,32089,34480,33484,34281,36579,35840
21178,19749,21513,25474,27617,29955,#,35021,33378,33329,32841,32863,33859,34133,33458,35238,35338,34354
34864,40033,34486,38106,38595,39826,40593,40595,42816,45633,45461,45588,44832,45539,44629,45489,45644,44970
23440,23994,25815,26920,28816,28101,29842,29341,31842,33826,33117,33050,33831,35213,34769,34199,#,35839
26615,29516,29470,30117,31153,32106,32130,34374,35772,34873,33845,34725,35024,33210,32716,31980,34468,36039
25198,27605,26835,25595,31068,27568,28912,28949,28930,31584,32009,31797,31749,30011,29804,31041,33076,34096
23689,23932,23853,26002,27369,29105,29714,32003,33637,33344,34526,32581,32764,33060,31690,33856,33568,35702
#,#,32321,31035,31862,35597,34874,35390,39016,46556,44663,42089,41030,39044,40241,38327,39387,42457
28742,30968,37855,35226,37273,42492,42838,46996,46620,45516,42271,42531,44065,42349,38677,38176,40291,45218
#,21748,23632,24551,26260,26991,29726,29032,31703,30817,32517,30446,31874,32408,33616,33919,32799,35729
24973,26650,26303,27980,29745,30339,30342,31063,31746,31352,32746,32342,31817,31504,29957,31404,34743,39293
19309,20002,19520,21167,21505,27736,28459,29418,32386,30993,32068,31947,31759,32758,33536,33850,33025,33432
29755,30465,30463,30875,31685,32725,32034,33992,37349,37424,38406,39436,39849,40911,42606,40529,39729,41156
27632,28795,32582,33322,34015,35410,34303,34303,39109,42241,41634,41142,41688,38522,41473,43037,47577,42932
35135,44989,54080,49632,40812,37231,50794,53641,58261,55027,49859,60068,58131,56967,59007,49576,52885,52752
28782,32475,35481,35812,37784,33106,33350,33248,37538,36101,36450,38220,37192,37906,36844,38848,35249,38625
25225,27219,29702,32569,30786,32985,32566,33513,33180,33834,33688,34459,36381,35167,35833,31728,34343,36139
28750,30242,31630,32702,37154,36464,38233,41050,41396,44262,43030,43657,44271,43350,44566,45180,41335,40458
22659,24850,25909,25320,26340,30443,30142,29832,31399,32708,32007,30506,30823,30909,32256,32602,34588,35454
22987,25615,27052,30607,30224,30422,29305,30731,31929,30330,31666,32415,32742,31960,31917,32907,34199,35907
21609,27763,24900,26461,29224,28450,30873,32363,34686,34487,39102,36870,35465,32807,33619,33127,36946,38661
22421,24321,24512,26086,27206,30087,31319,33111,32261,32648,32421,31948,30371,33442,33732,33182,32190,32792
27702,29854,30680,29463,30582,30298,33258,37366,37760,40992,39837,37122,36411,36611,36975,38060,38572,39407
29101,29423,30906,32241,34875,36022,39075,39710,40353,41548,41481,48938,47611,43807,40893,42316,42583,44008
26891,25235,25965,27147,27747,29187,28965,28531,29869,29775,30375,29656,29407,33223,30752,32427,34818,35113
47253,55045,49998,55530,66095,71063,62719,72749,70217,62526,69029,86593,64782,73376,74087,67320,64345,75103
22009,23023,23817,25374,25435,25800,27449,27129,28814,29524,30773,31926,30738,31143,28426,30911,30172,31049
26862,25861,27665,29446,30740,31455,32887,38209,40916,41202,39318,38695,35295,36917,35182,37251,37651,40076
