2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
79.6,79.7,79.3,79.2,79.4,79.8,80.2,80.3,80.6,80.7,81.4,81.7,82.2,82.0,81.8,81.9,82.1,82.7
81.4,81.8,82.2,82.6,82.9,83.3,83.4,83.8,83.9,83.9,84.0,84.4,84.9,85.0,85.0,85.2,85.5,85.8
80.9,81.2,81.2,81.6,82.0,82.5,82.6,82.5,82.8,83.2,83.8,84.1,84.1,84.2,84.1,84.2,84.1,84.1
81.4,81.6,81.6,82.1,82.6,83.1,83.4,83.5,83.6,83.6,84.1,84.2,84.4,84.6,84.9,85.1,85.0,85.1
81.8,82.1,82.0,82.3,82.6,83.3,83.4,83.4,83.5,83.9,84.2,84.4,84.7,84.7,85.1,84.9,85.3,85.0
80.3,80.5,81.0,81.2,81.7,81.8,82.4,82.7,83.5,84.1,84.4,84.9,85.4,86.1,86.2,86.8,86.5,87.0
80.4,80.5,80.7,80.8,81.0,81.2,81.9,82.1,82.6,82.5,82.9,83.0,83.3,83.4,83.4,83.6,83.7,84.0
80.6,81.0,81.2,81.3,81.6,82.0,82.7,82.8,82.9,83.0,83.6,83.9,84.1,84.0,84.0,84.2,84.6,84.8
80.6,80.9,81.0,81.1,81.3,81.9,82.3,82.5,82.7,82.7,83.7,83.8,84.2,84.1,84.2,84.5,84.5,84.8
79.7,80.1,79.9,80.0,80.1,80.5,81.1,81.4,81.6,81.5,82.0,82.1,82.7,82.5,82.6,82.4,82.7,83.0
79.7,80.1,80.2,80.6,81.1,81.2,81.3,81.1,81.3,81.5,82.1,82.4,82.8,82.9,82.7,82.8,82.9,83.7
81.3,81.6,81.3,81.7,81.9,82.8,83.2,83.3,83.3,83.1,83.2,83.2,83.3,83.9,83.9,84.3,84.5,84.6
80.0,80.0,79.8,80.2,80.9,82.0,82.7,83.0,83.5,83.5,83.5,83.5,84.3,84.5,84.5,84.6,84.7,85.0
82.6,83.2,82.9,82.9,82.7,83.2,83.6,84.1,84.3,84.5,84.9,85.1,85.5,85.7,85.9,85.9,85.9,86.0
80.9,80.8,80.9,81.1,81.4,81.9,82.0,82.3,82.7,83.1,83.6,83.5,83.6,83.7,84.1,84.2,84.2,84.0
81.2,81.5,81.3,81.3,81.5,82.1,82.5,82.9,83.1,83.3,83.4,83.3,83.5,83.8,83.7,83.8,83.8,84.0
80.0,80.0,79.9,80.1,80.5,80.9,81.5,81.9,82.3,82.5,82.8,83.0,83.2,83.7,84.1,84.2,84.0,83.8
78.8,79.1,79.5,79.4,79.8,80.1,80.9,81.1,81.3,81.6,82.2,82.9,83.2,83.3,83.0,83.3,83.2,83.3
82.9,84.0,84.3,85.0,85.0,85.4,85.5,85.9,85.8,85.9,85.8,85.5,85.9,86.1,86.5,86.4,86.2,86.8
81.1,81.3,81.3,81.6,82.3,82.8,83.0,83.1,83.4,83.9,84.2,84.6,84.4,84.5,84.5,84.9,84.8,84.9
79.2,79.4,79.8,79.9,79.8,80.2,80.6,81.0,81.0,81.1,82.0,82.7,83.2,83.0,83.0,83.2,83.5,83.7
79.0,79.1,79.1,79.6,79.8,80.5,80.9,81.1,81.5,81.6,82.1,82.4,82.7,83.2,83.1,83.3,83.7,83.8
81.4,81.9,81.7,82.0,82.2,82.7,82.5,82.8,83.0,83.6,83.7,84.0,83.9,84.1,84.2,84.2,84.3,84.3
78.7,79.0,78.8,78.8,78.8,79.3,79.7,80.3,80.6,81.3,81.9,82.5,82.4,82.9,82.5,83.1,82.9,83.3
81.5,81.5,81.0,81.2,81.6,82.1,82.3,82.5,82.8,83.0,83.5,83.8,84.1,84.5,84.2,84.3,84.3,84.8
81.8,82.2,82.3,82.4,82.7,83.0,83.6,84.0,84.9,85.1,85.6,85.5,85.6,85.7,85.4,85.9,85.7,86.4
79.9,79.9,79.9,80.2,80.6,81.0,81.2,81.4,81.6,82.0,82.3,82.8,83.5,83.7,83.7,83.8,84.4,84.6
80.2,80.5,80.6,81.2,81.8,82.5,82.5,82.6,82.8,83.3,83.8,83.8,83.9,83.3,83.5,83.5,84.3,83.9
78.8,78.9,78.8,79.2,79.8,80.1,80.3,80.3,80.6,81.0,81.7,81.8,82.4,82.3,82.4,82.3,82.9,83.2
78.8,79.5,79.6,80.1,80.5,80.9,81.2,81.4,81.9,82.3,82.8,83.1,83.5,83.6,83.7,83.9,84.2,84.5
79.9,80.2,80.2,80.5,80.8,81.1,81.3,81.4,81.8,82.4,83.0,83.1,83.2,83.6,83.6,83.8,83.6,84.0
82.2,82.7,82.3,82.6,82.6,83.4,83.8,84.6,84.8,84.8,84.6,84.6,85.3,85.7,85.9,85.9,86.0,86.5
