2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
74.2,74.7,74.5,74.8,75.2,75.7,76.0,76.0,76.1,76.4,77.1,77.5,77.6,77.5,77.5,77.5,77.8,78.0
77.5,77.6,78.0,78.3,78.4,78.9,79.3,79.8,79.9,80.1,80.6,81.2,81.7,82.0,81.9,82.0,82.2,82.4
77.0,77.0,77.1,77.6,78.2,78.4,78.6,78.9,79.2,79.7,79.8,80.1,80.1,80.3,80.1,80.1,80.0,80.1
76.0,75.9,76.0,76.5,77.2,77.8,78.1,78.4,78.6,79.1,79.6,79.6,79.8,79.9,79.9,80.2,80.3,80.8
77.2,77.5,77.7,78.1,78.5,79.0,79.3,79.5,79.7,80.0,80.5,80.8,81.1,81.2,81.3,81.3,81.4,81.3
73.6,74.3,74.7,75.4,75.6,76.3,76.9,77.6,78.2,78.7,79.6,80.1,80.7,81.4,81.7,82.1,82.3,82.7
76.4,76.7,76.8,76.8,77.1,77.4,77.8,78.2,78.9,79.0,79.1,79.1,79.8,80.1,80.4,80.3,80.4,80.3
75.7,75.9,76.0,76.3,76.8,77.4,77.9,78.3,78.5,78.4,78.5,79.0,79.8,80.4,80.8,80.7,80.9,80.8
76.3,76.9,76.6,76.8,77.0,77.7,78.2,78.5,78.8,79.1,79.7,80.4,80.4,80.4,80.1,80.2,80.3,80.6
74.3,74.2,74.1,74.6,74.8,75.1,75.1,75.6,76.1,77.0,77.8,78.4,78.6,79.0,79.0,79.3,79.2,79.5
73.6,74.2,74.4,74.5,75.0,74.9,75.4,75.5,76.6,76.9,77.5,77.5,78.0,78.4,78.7,78.9,78.8,79.6
75.0,75.5,75.6,76.0,76.3,77.4,77.2,77.3,77.2,78.0,78.4,78.8,78.8,79.5,79.2,79.7,79.5,79.7
74.4,74.7,74.6,74.7,75.2,76.0,76.2,76.4,76.9,77.8,78.7,79.2,79.9,79.9,79.9,80.0,80.4,80.8
77.5,78.2,78.4,78.5,78.8,79.0,79.7,80.5,81.2,81.4,81.4,81.7,82.1,82.4,82.3,82.5,82.7,83.3
76.6,76.5,76.6,77.0,77.7,78.1,78.2,78.3,78.6,78.6,78.9,79.2,79.6,80.1,80.2,80.1,79.6,79.7
76.3,76.2,76.5,76.7,77.3,77.4,78.0,78.2,78.6,78.7,79.5,79.8,80.2,80.3,80.5,80.8,80.8,79.7
75.1,75.1,75.4,75.7,76.3,76.8,77.1,77.6,78.0,78.6,79.0,79.4,79.6,79.8,79.8,80.0,80.0,80.0
73.3,73.5,73.3,73.9,74.6,74.9,75.2,75.3,75.9,76.6,77.1,77.7,77.9,78.7,78.7,79.4,79.4,79.6
78.1,78.8,79.0,79.7,80.4,81.4,81.5,81.7,81.4,81.5,81.4,81.8,82.2,82.9,83.4,83.7,83.2,83.3
77.3,77.6,77.7,78.2,78.4,78.8,79.1,79.7,80.3,80.7,80.9,81.2,81.2,81.8,81.5,81.6,81.4,81.5
73.0,73.1,73.5,74.1,74.8,75.1,75.7,75.7,76.3,76.8,77.5,78.1,78.2,78.7,78.5,78.6,78.7,79.2
73.5,74.1,74.5,75.1,75.2,75.7,76.1,76.3,76.4,76.8,77.6,78.1,78.6,78.8,78.8,79.1,79.0,79.2
76.7,77.2,77.0,77.5,77.8,78.7,79.3,79.4,79.8,79.9,80.2,80.1,80.1,80.3,80.5,80.8,80.9,81.0
72.7,73.3,73.7,74.3,74.7,74.7,75.4,75.6,76.3,76.4,77.4,77.7,78.4,78.5,79.0,79.3,79.7,80.2
76.5,76.7,77.0,77.3,77.4,77.8,78.2,78.7,79.1,79.2,79.7,80.1,80.6,80.7,80.6,81.0,81.0,81.5
77.4,77.8,78.4,78.7,79.2,79.5,80.0,80.2,80.8,81.1,81.3,81.5,81.7,82.1,82.0,82.3,82.3,82.5
73.3,73.6,74.0,74.6,75.2,76.0,76.3,76.3,76.6,76.9,77.6,77.9,78.4,78.8,78.8,79.1,78.9,79.3
76.4,77.0,77.2,78.0,78.0,78.5,78.6,78.9,79.1,79.3,79.7,80.3,80.7,80.7,80.8,80.6,80.8,80.6
72.7,72.7,72.9,73.7,74.6,74.9,74.9,74.8,75.5,76.0,76.6,77.0,77.5,78.0,78.4,78.6,79.0,79.3
74.4,74.3,74.7,75.0,75.6,75.5,76.3,76.9,77.7,78.1,78.9,79.1,79.6,79.2,79.3,79.4,80.1,80.6
75.1,75.4,75.6,76.2,76.2,76.7,77.0,77.5,77.9,78.3,78.8,79.1,79.2,79.4,79.7,80.0,80.2,80.5
77.1,77.0,77.3,77.6,78.2,79.3,80.2,81.1,81.2,81.2,81.0,80.9,81.4,81.9,82.2,82.4,82.7,83.9
