2011,2012,2013,2014,2015,2016,2017,2018
802,850,901,850,1000,1150,1200,1200
1062,1170,1213,1278,1350,1400,1350,1376
800,825,850,850,950,1000,1062,1000
1148,1250,1250,1365,1400,1510,1450,1495
916,950,950,1050,1150,1195,1150,1200
1582,1711,1733,1729,1950,1885,1820,1842
850,880,890,950,1025,1100,1100,1100
1000,1100,1250,1250,1322,1395,1400,1400
949,1000,1100,1100,1248,1250,1275,1300
850,948,1100,1200,1200,1300,1325,1300
1192,1300,1387,1473,1625,1690,1603,1733
1430,1517,1517,1582,1517,1668,1625,1647
962,1050,1200,1278,1350,1400,1400,1425
1027,1050,1148,1200,1275,1350,1350,1300
835,850,875,867,950,1000,1100,1100
925,900,945,1100,1175,1150,1200,1200
975,1100,1225,1200,1350,1400,1300,1250
1387,1452,1560,1647,1733,1733,1712,1750
2167,2058,2297,2253,2383,2492,2795,2383
897,412,1200,1250,1350,1295,1300,1258
1192,1250,1343,1408,1473,1560,1550,1550
850,925,950,1000,1150,1250,1275,1275
1000,1150,1250,1300,1400,1450,1400,1400
900,900,1096,1049,1215,1325,1365,1400
897,900,932,925,1100,1200,1200,1203
1150,1250,1450,1500,1600,1595,1430,1600
1200,1250,1350,1408,1525,1473,1495,1560
775,880,925,950,1050,1100,1100,1075
1300,1322,1517,1408,1517,1647,1647,1647
900,900,975,1000,1150,1225,1250,1275
1257,1387,1500,1515,1647,1647,1668,1650
