2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
562,560,558,557,551,595,624,611,568,599,669,676,661,693,728,739,770,776
1634,1645,1640,1653,1622,1634,1660,1641,1688,1639,1832,1763,1826,1858,1901,1910,1911,1991
965,981,970,983,1004,997,979,968,951,950,1059,1047,1063,1061,1107,1131,1179,1209
980,965,984,984,977,973,964,942,872,857,917,900,911,898,943,937,987,1007
1326,1346,1335,1340,1333,1315,1308,1282,1253,1236,1252,1268,1284,1310,1357,1386,1418,1447
612,605,595,593,574,510,512,512,495,498,481,472,454,455,465,468,470,477
1349,1350,1338,1333,1311,1284,1280,1278,1212,1187,1185,1204,1221,1249,1291,1314,1359,1390
1381,1376,1372,1374,1343,1325,1321,1255,1244,1240,1233,1243,1213,1299,1284,1308,1318,1375
1579,1522,1535,1586,1559,1538,1601,1597,1543,1553,1734,1648,1752,1717,1809,1893,1921,1958
1125,1128,1141,1151,1172,1159,1144,1133,1090,1082,1083,1112,1094,1095,1127,1149,1161,1211
556,555,561,551,533,523,543,540,527,514,513,498,491,485,499,508,522,527
590,600,602,599,600,579,594,591,562,567,560,541,516,535,534,540,560,564
625,619,615,619,601,601,603,602,572,554,553,557,559,564,583,593,608,619
627,628,653,639,636,627,620,608,597,581,712,733,762,760,788,801,828,856
1515,1507,1527,1434,1429,1465,1539,1502,1486,1521,1503,1525,1535,1587,1643,1662,1727,1778
2286,2238,2258,2215,2194,2170,2159,2127,2135,2164,2130,2120,2208,2276,2370,2348,2433,2455
1687,1662,1657,1641,1647,1591,1616,1550,1535,1533,1506,1530,1548,1569,1607,1609,1645,1660
483,479,475,475,454,446,451,449,437,427,420,418,414,408,418,418,429,435
588,584,580,569,563,558,569,546,530,528,530,529,506,503,523,521,533,541
1024,1002,986,988,982,971,940,949,925,925,990,925,934,939,954,967,1001,1014
928,924,907,887,855,835,832,832,807,781,770,768,756,748,771,777,809,845
884,883,879,873,848,835,831,830,809,793,791,803,802,798,826,847,891,924
681,683,672,657,653,645,639,637,621,609,609,604,611,614,624,630,645,658
908,893,877,882,901,931,960,970,951,975,952,921,911,868,934,961,989,1046
1037,1053,1034,1021,1008,1061,1085,1079,1024,1028,1146,1232,1231,1237,1275,1275,1312,1339
905,902,899,892,880,860,847,845,816,798,787,784,809,808,825,835,852,869
874,877,867,849,827,820,819,832,794,784,772,771,745,738,760,767,783,808
720,722,721,715,702,700,687,692,640,639,626,634,643,651,675,689,718,740
954,947,953,964,948,936,970,980,944,943,962,928,899,907,914,904,941,975
747,771,750,763,723,749,741,727,696,692,798,754,779,807,885,853,879,905
1015,1016,993,974,954,935,837,891,863,828,844,813,814,797,796,813,819,868
