2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
29.7,27.7,25.5,22.5,23.2,26,26.2,24.9,26.5,11.2,20.5,13.7,15.6,13.7
18,15,18.7,18.6,18.2,17.9,14.6,15,17.3,12.4,10.8,14.7,11.6,10.7
13.5,12.6,15,15.8,17.8,22.3,16.1,13.8,13.6,14.3,12.3,12.1,11.8,12.1
22.5,17.1,22.8,16.9,14.9,15.6,18.4,20.4,15.1,10.7,12,13,10.8,12.9
13,10.4,14.1,14.1,12.5,13.4,17.6,15.1,14.2,21.6,14.8,12.4,10.6,8.2
19.5,23.9,24,21.3,22.5,23.4,21.7,25,22.2,11.8,19.1,21.4,18,18.9
16.2,15.1,15,16.1,17.3,14.6,16.8,18.9,15.2,15.9,15.7,11.4,10.7,13.6
18.9,18.6,18.9,16.6,17.3,19,14.9,18.6,16.1,21.4,17.2,11.2,10.6,10.2
17.9,19.3,19.5,19.8,23.9,25.3,25.2,23.4,19.3,19.9,16.1,13.8,15.4,17.6
20.2,21.5,21.6,21,21.4,23.4,19.1,19.9,16.6,22.7,17.4,12.9,14.5,13.4
30.7,35.9,32.3,27.3,22.9,19.8,18.5,21.5,25.3,18.9,18.4,18.3,21.6,17.2
20.9,21.3,21,20.3,19.6,22,24.2,21.9,19.2,16.7,15,17.4,10.5,13.2
28.7,19.4,19.4,21.6,26.3,24.1,21.9,24,23.4,12.8,19,15.5,15.6,16.3
15.6,16.3,12.5,13.4,16,11.8,14.2,11.1,11.8,15.1,10.5,11.1,10,7.4
11.6,15,17.5,16.5,14.2,16.8,17.4,16.2,17.2,15.1,12.4,11.3,11.4,9.6
16.5,16.2,18.2,22.8,15.6,14.1,19,15.9,17.8,11.4,13.4,12.7,13.3,12.2
19.6,16.5,15.8,15.1,15.2,13.3,14.6,11.7,11.7,21.4,11.8,10.2,12,9.1
27.5,28.7,24.4,20.6,23,22.3,22.3,20.4,20.6,17.6,17.9,15.7,17.8,16
20.4,21.4,24.3,24.2,21.5,22.1,21.8,24.4,17.8,9.9,17.9,19.1,19.5,17
11.6,13.4,10.2,12.3,11.2,13.6,14.9,13.6,9.7,16.9,12,12.9,13.3,14
24.7,22.3,24.3,23.6,22.4,20,20.5,18.3,17.7,15.4,11.6,13,11.1,11.3
22.1,20.7,22.9,22,18.4,22.2,25,22.1,22,9.8,14,14.8,11.1,10.7
11.8,18.7,13.5,6.8,8.9,11.8,10.6,10.9,10.8,24.2,9.1,7.7,8.5,7.5
30,26.6,24.7,28.8,26.5,27,28.5,27.1,21.6,13.8,19.2,12.9,9.2,11.8
11.9,18.5,18.3,18.9,16.9,18.4,15,16.5,12.6,10.4,9.6,11.4,8.2,6.9
15.1,11.4,12.1,9.8,9,10.2,10.4,12.3,12.7,23.4,8.5,6.6,10.8,10
25.7,26.4,23.9,23.7,23.2,23,22.4,23.7,22,11.2,14.9,12.9,12.1,13.4
14.4,11.4,12.2,16.9,13.4,15.2,13.4,13.7,12.5,19.3,9.6,8.3,10.3,11.7
30.3,27.7,28.2,27.2,25.7,23.4,20.2,22,22.9,15.5,15.5,15.4,14.9,20.9
21.9,21.2,22.2,21.3,23.5,21.7,19.8,18.7,15.5,14.8,15.6,12.6,11.6,8.9
14.5,17.6,14.5,14.5,11.9,11.3,16.2,11.5,13.1,21.9,10.5,11.2,9.7,9.5
