X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, y
0.128,0.119,0.185,0.53,0.651,0.532,0.679,0.364,0.352,0.101,0.601,0.096
0.251,0.244,0.214,0.379,0.446,0.468,0.589,0.545,0.331,0.362,0.215,0.151
0.2,0.175,0.169,0.53,0.651,0.532,0.661,0.295,0.173,0.32,0.239,0.033
0.35,0.349,0.373,0.5,0.518,0.455,0.518,0.091,0.418,0.177,0.171,0.273
0.392,0.374,0.182,0.591,0.663,0.584,0.688,0.318,0.247,0.657,0.433,0.128
0.45,0.438,0.183,0.545,0.614,0.584,0.688,0.318,0.225,0.606,0.573,0.146
0.235,0.242,0.278,0.606,0.675,0.494,0.625,0.114,0.464,0.064,0.369,0.313
0.235,0.242,0.197,0.545,0.639,0.636,0.723,0.182,0.352,0.428,0.362,0.14
0.211,0.192,0.183,0.53,0.651,0.532,0.661,0.227,0.163,0.312,0.246,0.067
0.328,0.342,0.21,0.667,0.699,0.584,0.643,0.239,0.363,0.085,0.423,0.177
0.295,0.302,0.133,0.53,0.602,0.506,0.589,0.182,0.247,0.233,0.307,0.174
0.319,0.32,0.366,0.515,0.554,0.455,0.545,0.284,0.464,0.053,0.43,0.38
0.381,0.374,0.369,0.5,0.542,0.416,0.491,0.693,0.352,0.17,0.379,0.349
0.004,0.0,0.255,0.758,0.843,0.714,0.839,0.352,0.436,0.195,0.573,0.079
0.301,0.295,0.34,0.5,0.614,0.494,0.571,0.091,0.467,0.175,0.215,0.249
0.169,0.152,0.199,0.561,0.687,0.597,0.723,0.432,0.211,0.42,0.29,0.12
0.304,0.302,0.187,0.636,0.687,0.558,0.634,0.114,0.352,0.246,0.29,0.256
0.295,0.291,0.322,0.5,0.518,0.481,0.598,0.341,0.236,0.548,0.174,0.231
0.37,0.353,0.264,0.333,0.398,0.351,0.429,0.5,0.205,0.139,0.157,0.208
0.395,0.394,0.321,0.439,0.494,0.468,0.473,0.636,0.373,0.041,0.638,0.31
0.301,0.304,0.227,0.515,0.627,0.519,0.562,0.205,0.247,0.408,0.41,0.273
0.14,0.136,0.212,0.682,0.759,0.701,0.83,0.102,0.336,0.708,0.198,0.113
0.413,0.427,0.374,0.894,0.904,0.727,0.804,0.341,0.553,0.028,0.427,0.364
0.131,0.116,0.147,0.515,0.627,0.571,0.714,0.284,0.196,0.115,0.201,0.075
0.171,0.17,0.192,0.576,0.639,0.558,0.661,0.364,0.247,0.096,0.147,0.132
0.543,0.555,0.675,0.364,0.446,0.325,0.429,0.398,0.382,0.24,0.556,0.319
0.193,0.183,0.219,0.515,0.59,0.584,0.679,0.17,0.257,0.443,0.164,0.144
0.47,0.458,0.209,0.303,0.361,0.351,0.429,0.591,0.164,0.131,0.625,0.273
0.443,0.439,0.558,0.485,0.554,0.403,0.536,0.409,0.482,0.0,0.375,0.397
0.366,0.365,0.319,0.515,0.602,0.468,0.545,0.068,0.418,0.172,0.283,0.271
0.157,0.163,0.264,0.5,0.614,0.519,0.652,0.182,0.518,0.198,0.157,0.125
0.135,0.125,0.208,0.652,0.771,0.623,0.768,0.33,0.268,0.464,0.28,0.074
0.435,0.454,0.259,0.409,0.458,0.377,0.446,0.364,0.205,0.251,0.7,0.319
0.341,0.327,0.197,0.409,0.482,0.377,0.527,0.625,0.225,0.335,0.341,0.195
0.357,0.354,0.291,0.47,0.506,0.494,0.509,0.205,0.409,0.038,0.42,0.298
0.197,0.204,0.17,0.545,0.627,0.532,0.598,0.182,0.31,0.217,0.205,0.148
0.219,0.204,0.303,0.53,0.578,0.545,0.67,0.25,0.205,0.879,0.382,0.191
0.379,0.387,0.343,0.515,0.542,0.481,0.545,0.364,0.427,0.065,0.522,0.404
0.14,0.127,0.214,0.561,0.663,0.545,0.661,0.227,0.226,0.613,0.16,0.079
