X1, X2, y
0.206,0.341,0.161
0.171,0.247,0.132
0.37,0.205,0.208
0.379,0.427,0.404
0.41,0.554,0.359
0.377,0.184,0.173
0.166,0.518,0.133
0.095,0.31,0.085
0.12,0.309,0.048
0.235,0.352,0.19
0.421,0.231,0.239
0.35,0.418,0.273
0.137,0.32,0.138
0.217,0.178,0.134
0.279,0.445,0.268
0.355,0.554,0.461
0.148,0.226,0.116
0.366,0.418,0.271
0.443,0.482,0.397
0.124,0.226,0.089
0.191,0.457,0.171
0.357,0.215,0.242
0.392,0.554,0.336
0.271,0.204,0.201
0.295,0.236,0.231
0.153,0.247,0.104
0.271,0.247,0.168
0.188,0.194,0.108
0.388,0.184,0.236
0.142,0.31,0.117
0.321,0.645,0.347
0.128,0.352,0.096
0.107,0.415,0.095
0.481,0.518,0.315
0.087,0.394,0.038
0.435,0.205,0.319
0.271,0.196,0.204
0.413,0.553,0.364
0.299,0.509,0.24
0.146,0.289,0.143
0.14,0.226,0.079
0.219,0.205,0.191
0.075,0.268,0.047
0.175,0.218,0.154
0.348,0.205,0.265
0.341,0.268,0.257
0.286,0.736,0.397
0.0,0.499,0.049
0.31,0.289,0.165
0.209,0.184,0.126
0.246,0.355,0.167
0.169,0.318,0.13
0.222,0.463,0.121
0.266,0.31,0.14
0.013,0.352,0.087
0.279,0.482,0.287
0.215,0.289,0.101
0.211,0.341,0.191
0.2,0.191,0.08
0.324,0.331,0.134
0.39,0.545,0.537
0.206,0.827,0.345
0.144,0.31,0.131
0.16,0.413,0.154
0.308,0.205,0.232
0.364,0.289,0.117
0.155,0.152,0.094
0.647,0.373,0.321
0.035,0.31,0.082
0.171,0.331,0.024
0.202,0.352,0.197
0.301,0.467,0.249
0.301,0.287,0.255
0.479,0.464,0.299
0.428,0.327,0.341
0.403,0.445,0.256
0.18,0.461,0.162
0.179,0.224,0.129
0.246,0.289,0.233
0.219,0.383,0.207
0.375,0.464,0.234
0.08,0.362,0.023
0.213,0.337,0.203
0.031,0.289,0.044
0.47,0.164,0.273
0.262,0.31,0.189
0.149,0.247,0.033
0.202,0.409,0.156
0.193,0.257,0.144
0.404,0.518,0.239
0.368,0.205,0.289
0.228,0.527,0.316
0.413,0.184,0.254
0.135,0.268,0.074
0.297,0.331,0.207
0.148,0.373,0.055
0.244,0.289,0.238
0.253,0.351,0.108
0.2,0.173,0.033
0.131,0.196,0.075
0.317,0.289,0.119
0.257,0.352,0.114
0.355,0.267,0.21
0.279,0.4,0.146
0.55,0.409,0.435
0.486,0.327,0.323
0.007,0.496,0.046
0.264,0.352,0.174
0.027,0.457,0.046
0.392,0.247,0.128
0.14,0.336,0.113
