X, y
0.306,0.281
0.204,0.142
0.007,0.046
0.357,0.298
0.377,0.173
0.486,0.323
0.126,0.114
0.441,0.442
0.262,0.189
0.388,0.35
0.689,0.307
0.142,0.117
0.253,0.322
0.47,0.464
0.209,0.126
0.508,0.392
0.06,0.097
0.658,0.393
0.443,0.397
0.213,0.112
0.004,0.079
0.563,0.322
0.264,0.174
0.235,0.313
0.16,0.154
0.78,0.34
0.506,0.306
0.454,0.265
0.301,0.255
0.421,0.239
0.537,0.456
0.355,0.21
0.2,0.033
0.228,0.316
0.06,0.091
0.448,0.345
0.257,0.193
0.257,0.114
0.1,0.115
0.39,0.239
0.301,0.249
0.395,0.281
0.098,0.049
0.355,0.461
0.246,0.167
0.12,0.048
0.543,0.475
0.177,0.125
0.368,0.289
0.517,0.415
0.077,0.114
1.0,0.476
0.466,0.164
0.26,0.183
0.435,0.319
0.428,0.341
0.528,0.536
0.219,0.191
0.14,0.113
0.357,0.242
0.075,0.047
0.481,0.315
0.616,0.402
0.424,0.396
0.044,0.08
0.55,0.435
0.18,0.189
0.475,0.518
0.171,0.148
0.39,0.537
0.217,0.134
0.158,0.184
0.166,0.133
0.24,0.23
0.0,0.049
0.519,0.349
0.519,0.235
0.515,0.363
0.692,0.526
0.069,0.078
0.636,0.45
0.355,0.308
0.322,0.31
0.497,0.395
0.335,0.411
0.954,0.516
0.472,0.385
0.311,0.206
0.291,0.158
0.169,0.076
0.186,0.136
0.131,0.075
0.027,0.046
0.328,0.177
0.408,0.278
0.131,0.037
0.406,0.296
0.146,0.125
0.479,0.248
0.308,0.239
0.321,0.224
0.211,0.147
0.335,0.28
0.723,0.716
0.253,0.108
0.372,0.256
0.321,0.229
0.239,0.141
0.211,0.067
0.217,0.104
0.199,0.194
0.324,0.134
0.381,0.19
0.08,0.169
0.348,0.265
0.188,0.108
0.279,0.094
0.277,0.22
0.137,0.138
0.541,0.484
0.364,0.236
0.587,0.378
0.295,0.174
0.576,0.4
0.652,0.499
0.124,0.089
0.412,0.377
0.271,0.201
0.206,0.161
0.308,0.232
0.648,0.712
0.235,0.14
0.37,0.208
0.222,0.404
0.197,0.148
0.197,0.023
0.373,0.339
0.419,0.374
0.206,0.345
0.144,0.028
0.259,0.176
0.148,0.157
0.415,0.274
0.204,0.136
0.157,0.125
0.566,0.249
0.324,0.263
0.155,0.141
0.18,0.264
0.18,0.134
0.53,0.367
0.146,0.248
0.392,0.128
0.14,0.079
0.091,0.083
0.35,0.366
0.206,0.136
0.381,0.349
0.348,0.2
0.355,0.304
0.104,0.167
0.107,0.095
0.383,0.242
0.171,0.024
0.548,0.427
0.286,0.397
0.41,0.359
0.208,0.205
0.093,0.092
0.434,0.221
0.148,0.116
0.2,0.08
0.689,0.496
0.86,0.42
0.477,0.34
0.095,0.085
0.053,0.057
0.328,0.26
0.341,0.195
0.45,0.146
0.536,0.517
0.565,0.363
0.375,0.234
0.266,0.14
0.275,0.259
0.495,0.304
0.098,0.077
0.308,0.2
0.341,0.257
0.162,0.063
0.233,0.393
0.512,0.401
0.279,0.146
0.335,0.151
0.219,0.129
0.18,0.162
0.246,0.233
0.454,0.34
0.12,0.097
0.279,0.287
0.295,0.231
0.153,0.104
0.204,0.188
0.543,0.319
