X, y
0.192,0.136
0.768,0.579
0.279,0.397
0.163,0.335
0.283,0.191
0.123,0.516
0.331,0.238
0.11,0.163
0.644,0.516
0.168,0.296
0.182,0.128
0.383,0.268
0.153,0.134
0.197,0.305
0.097,0.438
0.122,0.228
0.365,0.196
0.264,0.752
0.22,0.152
0.078,0.206
0.589,0.315
0.17,0.148
0.322,0.231
1.0,0.321
0.24,0.574
0.21,0.177
0.181,0.334
0.32,0.091
0.065,0.403
0.085,0.252
0.111,0.511
0.154,0.182
0.152,0.218
0.829,0.184
0.163,0.424
0.16,0.656
0.237,0.375
0.074,0.323
0.11,0.32
0.121,0.26
0.328,0.442
0.276,0.049
0.206,0.485
0.323,0.084
0.14,0.19
0.094,0.393
0.243,0.102
0.192,0.047
0.153,0.362
0.235,0.364
0.351,0.152
0.154,0.363
0.184,0.023
0.184,0.2
0.097,0.359
0.264,0.208
0.062,0.44
0.139,0.298
0.128,0.268
0.224,0.274
0.193,0.035
0.151,0.248
0.086,0.312
0.327,0.137
0.197,0.108
0.164,0.283
0.192,0.207
0.229,0.622
0.17,0.607
0.317,0.824
0.404,0.395
0.291,0.298
0.115,0.236
0.207,0.06
0.061,0.571
0.181,0.747
0.186,0.164
0.418,0.167
0.369,0.35
0.168,0.104
0.576,0.392
0.123,0.354
0.313,0.138
0.694,0.651
0.143,0.6
0.201,0.269
0.439,0.377
0.28,0.24
0.347,0.558
0.229,0.256
0.279,0.271
0.214,0.003
0.314,0.712
0.277,1.0
0.052,0.326
0.103,0.53
0.234,0.179
0.282,0.21
0.144,0.222
0.327,0.396
0.34,0.347
0.154,0.264
0.031,0.522
0.172,0.108
0.251,0.173
0.186,0.12
0.26,0.207
0.183,0.322
0.269,0.453
0.15,0.236
0.161,0.177
0.261,0.254
0.212,0.113
0.288,0.345
0.037,0.353
0.223,0.19
0.06,0.234
0.158,0.387
0.219,0.144
0.198,0.053
0.181,0.134
0.558,0.397
0.515,0.751
0.198,0.255
0.1,0.541
0.343,0.404
0.264,0.125
0.185,0.055
0.202,0.206
0.21,0.385
0.147,0.239
0.121,0.455
0.172,0.091
0.182,0.057
0.303,0.794
0.309,0.256
0.258,0.322
0.388,0.385
0.387,0.518
0.162,0.142
0.129,0.184
0.095,0.387
0.06,0.237
0.2,0.068
0.23,0.076
0.578,0.526
0.076,0.217
0.202,0.128
0.147,0.075
0.217,0.062
0.143,0.402
0.756,0.42
0.195,0.248
0.348,0.475
0.197,0.335
0.217,0.141
0.148,0.525
0.454,0.641
0.369,0.349
0.058,0.313
0.185,0.096
0.198,0.23
0.067,0.276
0.195,0.232
0.088,0.424
0.148,0.194
0.146,0.217
0.122,0.204
0.273,0.589
0.223,0.991
0.109,0.278
0.106,0.166
0.165,0.193
0.114,0.172
0.292,0.256
0.191,0.083
0.339,0.374
0.231,0.233
0.161,0.184
0.173,0.22
0.227,0.038
0.168,0.292
0.091,0.283
0.046,0.229
0.246,0.109
0.172,0.118
0.389,0.521
0.208,0.154
0.213,0.223
0.713,0.234
0.117,0.432
0.236,0.092
0.205,0.466
0.214,0.079
0.153,0.284
0.297,0.193
0.248,0.021
0.206,0.028
0.319,0.222
0.814,0.249
0.34,0.249
0.064,0.417
0.204,0.157
0.169,0.033
0.413,0.598
0.225,0.174
0.139,0.293
0.186,0.141
0.193,0.701
0.366,0.38
0.141,0.198
0.31,0.316
0.068,0.358
0.219,0.083
0.208,0.074
0.33,0.229
0.159,0.161
0.383,0.242
0.206,0.189
0.172,0.644
0.102,0.366
0.53,0.606
0.213,0.125
0.389,0.366
-0.003,0.174
0.243,0.683
0.228,0.044
0.38,0.717
0.063,0.377
0.223,0.348
0.148,0.375
0.171,0.149
0.101,0.19
0.351,0.345
0.176,0.094
0.235,0.156
0.03,0.244
0.182,0.363
0.194,0.265
0.292,0.34
0.209,0.184
0.192,0.2
0.148,0.232
0.149,0.373
0.197,0.7
0.266,0.263
0.134,0.179
0.255,0.079
0.152,0.415
0.215,0.201
0.537,0.701
0.375,0.349
0.244,0.039
0.177,0.337
0.242,0.186
0.188,0.33
0.138,0.688
0.339,0.25
0.115,0.319
0.196,0.214
0.151,0.094
0.206,0.465
0.509,0.662
0.301,0.472
0.08,0.537
0.295,0.002
0.241,0.121
0.176,0.136
0.41,0.456
0.301,0.131
0.349,0.12
0.209,0.08
0.246,0.571
0.206,0.34
0.497,0.359
0.096,0.181
0.226,0.402
0.233,0.792
0.201,0.104
0.258,0.049
0.22,0.284
0.052,0.209
0.19,0.613
0.137,0.607
0.109,0.408
0.162,0.111
0.214,0.26
0.234,0.59
0.142,0.393
0.233,0.078
0.186,0.293
0.117,0.4
0.12,0.25
0.379,0.265
0.172,0.28
0.495,0.25
0.221,0.062
0.448,0.336
0.336,0.323
0.18,0.171
0.211,0.114
0.238,0.627
0.183,0.067
0.213,0.204
0.085,0.273
0.263,0.393
0.235,0.095
0.091,0.196
0.088,0.404
0.158,0.392
0.344,0.259
0.389,0.536
0.342,0.211
0.214,0.151
0.303,0.191
0.284,0.046
0.275,0.189
0.362,0.304
0.184,0.633
0.197,0.14
0.184,0.257
0.081,0.163
0.388,0.461
0.17,0.195
0.262,0.082
0.202,0.165
0.152,0.386
0.166,0.215
0.344,0.101
0.227,0.14
0.169,0.496
