X, y
0.442,0.25
0.234,0.385
0.273,0.196
0.481,0.206
0.299,0.35
0.169,0.4
0.234,0.402
0.584,0.207
0.247,0.323
0.364,0.236
0.325,0.183
0.468,0.169
0.61,0.0
0.195,0.392
0.597,0.114
0.714,0.046
0.753,0.453
0.221,0.589
0.39,0.136
0.558,0.233
0.117,0.411
0.61,0.091
0.208,0.147
0.61,0.062
0.468,0.2
0.494,0.26
0.26,0.335
0.455,0.263
0.429,0.339
0.195,0.363
0.39,0.193
0.805,0.048
0.519,0.221
0.442,0.212
0.364,0.194
0.416,0.149
0.143,0.476
0.558,0.108
0.273,0.236
0.468,0.31
0.26,0.356
0.584,0.128
0.571,0.239
0.571,0.114
0.455,0.129
0.468,0.195
0.597,0.097
0.506,0.238
0.299,0.557
0.195,0.622
0.455,0.296
0.273,0.59
0.558,0.336
0.39,0.222
1.0,0.296
0.532,0.096
0.351,0.293
0.494,0.14
0.494,0.209
0.338,0.292
0.532,0.207
0.117,0.366
0.377,0.319
0.312,0.223
0.455,0.273
0.351,0.168
0.545,0.12
0.468,0.21
0.494,0.104
0.091,0.394
0.597,0.14
0.416,0.235
0.597,0.141
0.468,0.328
0.403,0.248
0.403,0.397
0.247,0.375
0.584,0.152
0.351,0.208
0.429,0.514
0.416,0.309
0.623,0.102
0.455,0.188
0.584,0.146
0.299,0.369
0.299,0.206
0.117,0.387
0.234,0.524
0.039,0.326
0.286,0.222
0.636,0.092
0.286,0.395
0.532,0.207
0.273,0.307
0.429,0.134
0.247,0.348
0.39,0.712
0.364,0.118
0.416,0.184
0.896,0.002
0.519,0.152
0.351,0.246
0.662,0.087
0.468,0.176
0.234,0.401
0.078,0.751
0.403,0.242
0.455,0.239
0.26,0.237
0.156,0.424
0.338,0.298
0.26,0.354
0.403,0.165
0.234,0.424
0.286,0.321
0.351,0.217
0.545,0.232
0.779,0.063
0.338,0.172
0.273,0.358
0.753,0.383
0.208,0.67
0.221,0.662
0.221,0.313
0.325,0.517
0.364,0.404
0.506,0.174
0.584,0.161
0.494,0.225
0.195,0.42
0.078,0.438
0.649,0.128
0.61,0.154
0.169,0.518
0.312,0.456
0.468,0.316
0.416,0.381
0.442,0.142
0.481,0.184
0.143,0.607
0.416,0.558
0.234,0.556
0.182,0.752
0.558,0.117
0.338,0.392
0.649,0.141
0.26,0.578
0.299,0.319
0.494,0.214
0.247,0.234
0.597,0.101
0.558,0.25
0.234,0.275
0.545,0.191
0.519,0.2
0.468,0.271
0.117,0.312
0.377,0.269
0.519,0.347
0.351,0.232
0.494,0.159
0.351,0.201
0.234,0.373
0.208,0.632
0.753,0.083
0.506,0.028
0.532,0.033
0.429,0.217
0.584,0.146
0.351,0.454
0.377,0.184
0.74,0.049
0.481,0.12
0.519,0.242
0.662,0.537
0.753,0.465
0.312,0.362
0.208,0.541
0.208,0.375
0.481,0.171
0.195,0.436
0.299,0.228
0.688,0.057
0.545,0.08
0.506,0.256
0.571,0.112
0.286,0.34
0.468,0.151
0.545,0.129
0.221,0.231
0.455,0.304
0.351,0.284
0.416,0.349
0.208,0.574
0.247,0.427
0.481,0.256
0.325,0.173
0.468,0.184
0.442,0.19
0.416,0.255
0.338,0.274
0.753,0.393
0.143,0.485
0.506,0.297
0.532,0.133
0.13,0.385
0.208,0.716
0.519,0.003
0.481,0.386
0.584,0.177
0.416,0.264
0.325,0.319
0.74,0.095
0.61,0.084
0.519,0.21
0.675,0.053
0.481,0.177
0.494,0.134
0.273,0.331
0.078,0.656
0.416,0.341
0.584,0.144
0.286,0.323
0.117,0.579
0.519,0.147
0.468,0.281
0.61,0.044
0.494,0.033
0.221,0.26
0.545,0.236
0.13,0.427
0.403,0.234
0.403,0.345
0.39,0.249
0.26,0.283
0.532,0.121
0.39,0.166
0.519,0.157
0.545,0.117
0.558,0.146
0.0,0.606
0.584,0.068
0.455,0.38
0.545,0.204
0.481,0.404
0.468,0.259
0.351,0.299
0.442,0.136
0.701,0.118
0.182,0.424
0.26,0.335
0.545,0.158
0.481,0.19
0.338,0.232
0.519,0.193
0.481,0.231
0.571,0.075
0.0,0.36
0.623,0.162
0.104,0.571
0.078,0.315
0.584,0.211
0.429,0.242
0.273,0.271
0.182,0.393
0.519,0.265
0.286,0.218
0.494,0.313
0.234,0.387
0.273,0.526
0.065,0.432
0.584,0.683
0.442,0.306
0.208,0.376
0.455,0.287
0.532,0.055
0.312,0.231
0.701,0.461
0.429,0.215
0.649,0.131
0.455,0.326
0.623,0.039
0.338,0.215
0.039,0.717
0.623,0.089
0.532,0.067
0.649,0.521
0.208,0.991
0.403,0.256
0.597,0.114
0.727,0.364
0.623,0.23
0.494,0.248
0.013,0.516
0.584,0.188
0.416,0.265
0.468,0.209
0.312,0.28
0.325,0.35
0.364,0.435
0.26,0.244
0.039,0.298
0.325,0.232
0.117,0.421
0.506,0.104
0.377,0.195
0.753,0.022
0.26,0.276
0.39,0.278
0.013,0.641
0.039,0.402
0.182,0.195
0.818,0.366
0.481,0.239
0.571,0.047
