X, y
0.839,0.347
0.866,0.049
0.545,0.183
0.0,0.598
0.223,0.716
0.509,0.297
0.384,0.28
0.571,0.248
0.125,0.403
0.509,0.292
0.937,0.364
0.42,0.34
0.509,0.374
0.42,0.319
0.536,0.265
0.679,0.102
0.071,0.747
0.705,0.112
0.134,0.652
0.58,0.209
0.491,0.299
0.348,0.493
0.857,0.024
0.741,0.097
0.196,0.516
0.482,0.386
0.33,0.348
0.241,0.496
0.5,0.283
0.768,0.085
0.295,0.375
0.545,0.19
0.509,0.184
0.58,0.193
0.455,0.264
0.473,0.31
0.518,0.255
0.58,0.134
0.366,0.283
0.777,0.383
0.179,0.588
0.357,0.275
0.187,0.476
0.634,0.193
0.625,0.184
0.723,0.138
0.339,0.335
0.429,0.349
0.366,0.32
0.625,0.164
0.054,0.792
0.5,0.194
0.455,0.275
0.545,0.256
0.518,0.26
0.893,0.265
0.482,0.745
0.625,0.175
0.679,0.157
0.437,0.712
0.161,0.644
0.304,0.322
0.446,0.319
0.348,0.45
0.571,0.224
0.259,0.589
0.348,0.278
0.946,0.002
0.321,0.472
0.741,0.108
0.455,0.189
0.625,0.06
0.616,0.211
0.571,0.171
0.821,0.076
0.446,0.244
0.321,0.402
0.589,0.174
0.339,0.195
0.17,0.651
0.875,0.023
0.491,0.232
0.17,0.824
0.482,0.289
0.446,0.25
0.527,0.198
0.759,0.115
0.321,0.517
0.536,0.536
0.679,0.144
0.107,0.793
0.321,0.557
0.848,0.095
0.83,0.046
0.259,0.394
0.625,0.156
0.214,0.556
0.661,0.079
0.536,0.256
0.196,0.574
0.723,0.131
0.652,0.033
0.027,0.688
0.491,0.217
0.321,0.401
0.643,0.177
0.857,0.049
0.42,0.514
0.527,0.248
0.982,0.345
0.375,0.381
0.259,0.934
0.759,0.089
0.527,0.205
0.679,0.094
0.473,0.299
0.562,0.165
0.366,0.305
0.705,0.091
0.562,0.177
0.786,0.049
0.723,0.044
0.616,0.232
0.259,0.376
0.786,0.021
0.625,0.313
0.536,0.234
0.152,0.506
0.0,0.522
0.759,0.128
0.634,0.137
0.241,0.387
0.5,0.326
0.321,0.387
0.411,0.252
0.527,0.263
0.295,0.59
0.795,0.057
0.643,0.158
0.705,0.062
0.384,0.34
0.58,0.214
0.679,0.096
0.554,0.129
0.616,0.236
0.321,0.436
0.143,0.44
0.777,0.062
0.661,0.033
0.455,0.4
0.625,0.207
0.67,0.191
0.143,0.53
0.437,0.236
0.661,0.067
0.473,0.201
0.348,0.174
0.58,0.22
0.688,0.119
0.955,0.322
0.054,0.516
0.67,0.133
0.187,0.354
0.804,0.466
0.714,0.075
0.554,0.142
0.402,0.395
0.455,0.306
0.652,0.125
0.625,0.12
0.071,0.335
0.33,0.313
0.625,0.683
0.732,0.114
0.554,0.259
0.268,0.424
0.732,0.154
0.339,0.362
0.509,0.265
0.491,0.235
0.214,0.411
0.589,0.203
0.688,0.146
0.688,0.62
0.652,0.12
0.554,0.179
0.536,0.239
0.348,0.239
0.625,0.111
0.839,0.079
0.464,0.392
0.286,0.526
0.179,0.518
0.661,0.003
0.848,0.393
0.571,0.125
0.616,0.238
0.366,0.375
0.304,0.385
0.634,0.204
0.652,0.152
0.402,0.475
0.375,0.363
0.143,0.883
0.179,0.991
0.437,0.293
0.348,0.464
0.634,0.147
0.473,0.256
0.08,0.688
0.714,0.125
0.759,0.114
0.652,0.169
0.25,0.42
0.696,0.055
0.661,0.161
0.661,0.15
0.375,0.708
0.661,0.201
0.562,0.174
0.321,0.284
0.482,0.341
0.286,0.373
0.321,0.794
0.446,0.236
0.536,0.212
0.554,0.296
0.705,0.047
0.384,0.234
0.384,0.321
0.205,0.633
0.518,0.281
0.634,0.207
0.545,0.151
0.312,0.499
0.661,0.132
0.643,0.147
0.58,0.156
0.473,0.385
0.054,0.6
0.437,0.254
0.179,0.359
0.634,0.233
0.607,0.121
0.089,0.537
0.036,0.656
0.804,0.087
0.357,0.334
0.491,0.232
0.411,0.331
0.187,0.432
0.402,0.196
0.125,0.298
0.018,0.641
0.723,0.109
0.116,0.607
0.366,0.35
0.812,0.397
0.357,0.313
0.616,0.518
0.545,0.269
0.268,0.385
0.67,0.13
0.768,0.035
0.054,0.751
0.312,0.291
0.42,0.268
0.875,0.022
0.696,0.101
0.295,0.34
0.786,0.082
0.446,0.293
0.509,0.256
0.232,0.662
0.429,0.223
0.616,0.239
0.402,0.181
0.518,0.224
0.473,0.31
0.491,0.558
0.473,0.118
0.509,0.249
0.679,0.129
0.786,0.411
0.437,0.396
0.857,0.046
0.643,0.207
0.223,0.402
0.518,0.222
0.67,0.136
0.723,0.186
0.437,0.231
0.259,0.424
0.714,0.141
0.545,0.701
0.393,0.237
0.857,0.366
0.67,0.08
0.223,0.622
0.268,0.485
0.58,0.107
0.446,0.218
0.393,0.298
0.688,0.23
0.723,0.068
0.723,0.037
0.777,0.461
0.241,0.524
0.205,0.607
0.482,0.278
0.42,0.204
0.777,0.094
0.562,0.627
0.25,0.393
0.143,0.326
0.643,0.19
0.295,0.378
0.214,0.415
0.509,0.19
0.384,0.219
0.571,0.249
0.589,0.281
0.527,0.136
0.384,0.323
0.598,0.148
0.714,0.537
0.241,1.0
0.509,0.215
0.554,0.24
0.554,0.2
0.58,0.136
0.688,0.128
0.723,0.097
0.625,0.084
