X, y
0.409,0.12
0.295,0.117
0.182,0.125
0.261,0.203
0.307,0.116
0.295,0.08
0.091,0.249
0.091,0.273
0.375,0.293
0.33,0.046
0.182,0.14
0.125,0.279
0.364,0.221
0.33,0.461
0.182,0.174
0.591,0.224
0.33,0.148
0.239,0.13
0.341,0.231
0.205,0.14
0.125,0.076
0.295,0.033
0.33,0.239
0.375,0.126
0.5,0.208
0.443,0.307
0.227,0.234
0.545,0.454
0.455,0.239
0.25,0.141
0.614,0.306
0.17,0.144
0.318,0.128
0.5,0.168
0.364,0.229
0.193,0.049
0.466,0.536
0.432,0.374
0.716,0.339
0.795,0.396
0.398,0.236
0.341,0.134
0.739,0.323
0.205,0.037
0.682,0.381
0.193,0.345
0.068,0.063
0.545,0.274
0.284,0.075
0.364,0.21
0.182,0.148
0.477,0.385
0.205,0.347
0.307,0.2
0.102,0.113
0.216,0.112
0.398,0.335
0.159,0.028
0.625,0.304
0.341,0.26
0.352,0.183
0.352,0.079
0.227,0.249
0.227,0.085
0.216,0.197
0.148,0.308
0.364,0.319
0.284,0.323
0.42,0.167
0.261,0.257
0.239,0.091
0.216,0.22
0.284,0.087
0.239,0.108
0.205,0.273
0.591,0.273
1.0,0.537
0.693,0.349
0.5,0.089
0.591,0.34
0.398,0.256
0.284,0.236
0.443,0.265
0.42,0.404
0.239,0.195
0.341,0.364
0.114,0.256
0.545,0.151
0.67,0.493
0.818,0.393
0.398,0.319
0.489,0.173
0.364,0.132
0.307,0.191
0.284,0.193
0.239,0.068
0.295,0.129
0.25,0.188
0.568,0.518
0.523,0.34
0.341,0.238
0.148,0.095
0.682,0.345
0.182,0.179
0.705,0.35
0.239,0.151
0.409,0.239
0.545,0.349
0.193,0.114
0.125,0.24
0.795,0.435
0.045,0.048
0.591,0.265
0.659,0.521
0.17,0.121
0.318,0.296
0.455,0.254
0.295,0.255
0.114,0.313
0.534,0.206
0.466,0.136
0.068,0.077
0.33,0.108
0.352,0.134
0.352,0.289
0.227,0.125
0.0,0.023
0.568,0.34
0.409,0.321
