X1, X2, X3, X4, X5, X6, X7, X8, X9, y
0.087,0.101,0.227,0.803,0.867,0.844,0.893,0.205,0.116,0.038
0.355,0.344,0.355,0.5,0.518,0.455,0.536,0.166,0.3,0.308
0.39,0.392,0.377,0.818,0.807,0.662,0.714,0.022,0.532,0.537
0.412,0.407,0.439,0.47,0.494,0.403,0.464,0.177,0.584,0.377
0.186,0.183,0.181,0.561,0.602,0.571,0.67,0.098,0.137,0.136
0.004,0.0,0.255,0.758,0.843,0.714,0.839,0.195,0.573,0.079
0.109,0.116,0.204,0.561,0.675,0.597,0.741,0.424,0.164,0.108
0.211,0.192,0.183,0.53,0.651,0.532,0.661,0.312,0.246,0.067
0.24,0.251,0.198,0.682,0.723,0.623,0.688,0.098,0.307,0.23
0.315,0.295,0.201,0.515,0.614,0.532,0.634,0.602,0.41,0.207
0.308,0.3,0.167,0.53,0.578,0.545,0.616,0.181,0.304,0.232
0.231,0.241,0.215,0.652,0.711,0.584,0.652,0.09,0.304,0.201
0.301,0.307,0.198,0.424,0.506,0.416,0.518,0.225,0.246,0.255
0.279,0.289,0.208,0.682,0.747,0.558,0.643,0.261,0.184,0.146
0.148,0.15,0.185,0.545,0.663,0.532,0.696,0.106,0.085,0.055
0.395,0.385,0.242,0.409,0.506,0.468,0.518,0.408,0.365,0.281
0.169,0.163,0.202,0.667,0.747,0.688,0.804,0.693,0.365,0.13
0.479,0.467,0.151,0.606,0.59,0.494,0.527,0.227,0.283,0.248
0.171,0.17,0.192,0.576,0.639,0.558,0.661,0.096,0.147,0.132
0.71,0.698,0.191,0.182,0.193,0.234,0.259,0.275,0.758,0.424
0.404,0.438,0.668,0.439,0.506,0.455,0.562,0.26,0.283,0.239
0.146,0.125,0.195,0.394,0.518,0.403,0.571,0.26,0.123,0.248
0.335,0.342,0.247,0.833,0.867,0.753,0.786,0.059,0.529,0.411
0.517,0.485,0.152,0.273,0.289,0.156,0.214,0.36,0.512,0.415
0.075,0.069,0.192,0.5,0.578,0.571,0.705,0.137,0.058,0.047
0.341,0.327,0.197,0.409,0.482,0.377,0.527,0.335,0.341,0.195
0.142,0.136,0.197,0.545,0.627,0.545,0.661,0.099,0.143,0.117
0.355,0.345,0.362,0.53,0.602,0.455,0.545,0.161,0.157,0.304
0.417,0.392,0.188,0.424,0.482,0.403,0.464,0.446,0.42,0.339
0.41,0.412,0.497,0.455,0.542,0.545,0.598,0.01,0.382,0.359
0.235,0.242,0.278,0.606,0.675,0.494,0.625,0.064,0.369,0.313
0.388,0.378,0.195,0.348,0.41,0.364,0.509,0.344,0.454,0.236
0.211,0.21,0.191,0.742,0.771,0.753,0.804,0.159,0.154,0.083
0.091,0.092,0.219,0.561,0.675,0.61,0.732,0.116,0.065,0.083
0.244,0.233,0.331,0.5,0.542,0.506,0.616,0.557,0.174,0.238
0.372,0.369,0.229,0.424,0.518,0.481,0.509,0.406,0.423,0.256
0.031,0.031,0.228,0.576,0.675,0.61,0.723,0.151,0.126,0.044
0.364,0.371,0.15,0.621,0.663,0.545,0.616,0.24,0.471,0.236
0.246,0.25,0.286,0.439,0.53,0.429,0.571,0.198,0.167,0.167
0.271,0.251,0.213,0.5,0.554,0.545,0.634,0.397,0.294,0.204
0.208,0.179,0.139,0.409,0.47,0.416,0.527,0.279,0.287,0.205
0.297,0.3,0.323,0.379,0.446,0.325,0.5,0.205,0.16,0.183
0.477,0.456,0.177,0.288,0.337,0.221,0.33,0.196,0.403,0.337
0.077,0.069,0.251,0.545,0.687,0.597,0.759,0.257,0.106,0.114
0.266,0.26,0.195,0.455,0.554,0.494,0.571,0.214,0.28,0.14
0.066,0.065,0.221,0.652,0.735,0.649,0.777,0.29,0.229,0.062
0.188,0.166,0.193,0.561,0.663,0.532,0.679,0.319,0.263,0.035
0.166,0.177,0.27,0.5,0.59,0.532,0.67,0.201,0.106,0.133
0.543,0.523,0.348,0.5,0.542,0.351,0.402,0.091,0.491,0.475
0.271,0.273,0.185,0.53,0.614,0.545,0.661,0.403,0.338,0.201
0.206,0.213,0.159,0.576,0.663,0.584,0.661,0.23,0.171,0.161
0.25,0.231,0.234,0.515,0.566,0.558,0.661,0.411,0.317,0.179
0.286,0.298,0.279,0.742,0.819,0.753,0.812,0.059,0.608,0.397
0.14,0.136,0.212,0.682,0.759,0.701,0.83,0.708,0.198,0.113
0.597,0.599,0.452,0.364,0.422,0.351,0.393,0.006,0.536,0.454
0.339,0.333,0.279,0.288,0.325,0.273,0.429,0.236,0.27,0.271
0.479,0.474,0.576,0.455,0.542,0.338,0.464,0.003,0.478,0.392
0.486,0.494,0.336,0.394,0.446,0.416,0.429,0.044,0.509,0.323
0.321,0.331,0.387,0.97,0.976,0.779,0.839,0.029,0.505,0.347
0.206,0.213,0.288,0.848,0.928,0.961,0.982,0.055,0.427,0.345
0.279,0.275,0.383,0.5,0.542,0.468,0.527,0.18,0.218,0.268
0.304,0.302,0.187,0.636,0.687,0.558,0.634,0.246,0.29,0.256
0.689,0.729,0.738,0.288,0.361,0.273,0.348,0.271,0.464,0.307
0.279,0.268,0.176,0.667,0.699,0.714,0.777,0.085,0.177,0.094
0.239,0.233,0.217,0.591,0.639,0.597,0.705,0.696,0.273,0.141
0.098,0.101,0.227,0.712,0.783,0.727,0.83,0.734,0.276,0.077
