X1, X2, y
0.375,0.412,0.148
0.225,0.076,0.242
0.218,0.258,0.152
0.307,0.111,0.188
0.215,0.175,0.249
0.396,0.625,0.158
0.536,0.009,0.493
0.321,0.092,0.078
0.283,0.172,0.271
0.427,0.028,0.364
0.324,0.393,0.233
0.512,0.441,0.089
0.877,0.066,0.524
0.423,0.841,0.21
0.253,0.204,0.151
0.287,0.426,0.264
0.413,0.612,0.281
0.215,0.27,0.203
0.239,0.32,0.033
0.099,0.225,0.095
0.106,0.257,0.114
0.232,0.195,0.196
0.304,0.181,0.232
0.324,0.318,0.104
0.502,0.156,0.367
0.628,0.187,0.293
0.331,0.107,0.177
0.16,0.613,0.079
0.188,0.214,0.169
0.352,0.301,0.19
0.338,0.403,0.201
0.59,0.201,0.517
0.451,0.052,0.381
0.191,1.0,0.084
0.317,0.836,0.193
0.328,0.546,0.134
0.28,0.214,0.14
0.369,0.064,0.313
0.259,0.527,0.136
0.672,0.08,0.363
0.259,0.428,0.116
0.42,0.457,0.356
0.078,0.104,0.147
0.522,0.065,0.404
0.679,0.124,0.254
0.085,0.106,0.055
0.304,0.09,0.201
0.556,0.24,0.319
0.529,0.059,0.411
0.498,0.167,0.393
0.154,0.196,0.287
0.232,0.113,0.125
0.444,0.075,0.395
0.573,0.606,0.146
0.539,0.178,0.396
0.283,0.284,0.114
0.321,0.013,0.25
0.423,0.406,0.256
0.758,0.275,0.424
0.601,0.067,0.466
0.543,0.099,0.378
0.171,0.734,0.095
0.386,0.056,0.322
0.229,0.989,0.131
0.328,0.861,0.305
0.608,0.059,0.397
0.379,0.17,0.349
0.137,0.493,0.092
0.294,0.551,0.256
0.184,0.261,0.146
0.123,0.472,0.109
0.42,0.038,0.298
0.386,0.562,0.28
0.242,0.18,0.118
0.13,0.185,0.08
0.154,0.236,0.174
0.556,0.207,0.392
0.205,0.217,0.148
0.171,0.23,0.161
0.273,0.536,0.229
0.324,0.684,0.117
0.625,0.131,0.273
0.515,0.139,0.289
0.126,0.151,0.044
0.451,0.581,0.224
0.509,0.044,0.323
0.509,0.06,0.453
0.72,0.091,0.385
0.246,0.725,0.108
0.177,0.098,0.147
0.526,0.165,0.339
0.679,0.265,0.402
0.256,0.44,0.264
0.232,0.098,0.118
0.553,0.84,0.299
0.307,0.219,0.221
0.7,0.251,0.319
0.232,0.275,0.269
0.177,0.586,0.137
0.055,0.508,0.035
0.177,0.12,0.246
0.382,0.265,0.136
0.706,0.064,0.44
0.109,0.191,0.195
0.29,0.428,0.268
0.167,0.198,0.167
0.263,0.319,0.035
0.754,0.094,0.541
0.078,0.243,0.091
0.29,0.42,0.12
0.713,0.022,0.824
0.42,0.389,0.206
0.116,0.205,0.038
0.427,0.055,0.345
0.14,0.239,0.19
0.198,0.478,0.085
0.164,0.221,0.184
0.29,0.172,0.048
0.635,0.648,0.164
0.287,0.662,0.128
0.338,0.578,0.375
0.13,0.405,0.154
0.256,0.427,0.225
0.509,0.367,0.421
0.283,0.26,0.239
0.28,0.195,0.22
0.638,0.041,0.31
0.338,0.872,0.334
0.188,0.183,0.259
0.529,0.215,0.366
0.406,0.051,0.349
0.177,0.377,0.033
0.369,0.535,0.129
0.42,0.446,0.339
0.567,0.189,0.464
0.474,0.156,0.173
0.181,0.222,0.222
0.287,0.516,0.228
0.164,0.424,0.108
0.239,0.48,0.102
0.362,0.428,0.14
0.669,0.128,0.304
0.348,0.544,0.149
0.208,0.948,0.138
0.171,0.28,0.292
0.201,0.413,0.175
0.273,0.696,0.141
0.375,0.757,0.062
0.42,0.328,0.234
0.328,0.441,0.298
0.28,0.464,0.074
0.157,0.198,0.125
0.239,0.253,0.115
0.403,0.249,0.239
0.232,0.106,0.111
0.512,0.095,0.393
0.553,0.272,0.386
0.133,0.074,0.316
0.0,0.209,0.049
0.188,0.391,0.003
0.382,0.01,0.359
0.457,0.182,0.35
