2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.077,0.097,0.106,0.123,0.143,0.137,0.136,0.186,0.183,0.203,0.201,0.209,0.261,0.264,0.251,0.256,0.275,0.187
0.093,0.098,0.159,0.164,0.168,0.181,0.17,0.201,0.223,0.231,0.217,0.202,0.202,0.212,0.23,0.227,0.235,0.258
0.046,0.06,0.06,0.078,0.076,0.129,0.139,0.162,0.176,0.186,0.168,0.183,0.169,0.193,0.184,0.206,0.196,0.214
0.063,0.069,0.068,0.153,0.088,0.117,0.152,0.134,0.151,0.172,0.147,0.15,0.187,0.223,0.208,0.22,0.254,0.243
0.025,0.003,0.03,0.089,0.121,0.156,0.156,0.231,0.207,0.206,0.199,0.199,0.214,0.218,0.208,0.234,0.236,0.221
0.229,0.306,0.223,0.277,0.284,0.303,0.314,0.314,0.347,0.389,0.387,0.389,0.377,0.388,0.374,0.387,0.389,0.379
0.058,0.067,0.094,0.11,0.139,0.128,0.154,0.146,0.184,0.213,0.203,0.202,0.213,0.234,0.227,0.219,0.219,0.243
0.106,0.149,0.148,0.158,0.173,0.188,0.188,0.221,0.242,0.229,0.214,0.227,0.231,0.204,0.197,0.186,0.223,0.246
0.085,0.121,0.109,0.091,0.172,0.12,0.14,0.141,0.14,0.18,0.186,0.183,0.182,0.156,0.153,0.172,0.202,0.217
0.062,0.066,0.065,0.097,0.117,0.143,0.152,0.186,0.21,0.206,0.224,0.195,0.197,0.202,0.181,0.214,0.209,0.241
0.191,0.191,0.191,0.172,0.184,0.24,0.229,0.237,0.291,0.403,0.375,0.336,0.321,0.291,0.309,0.28,0.296,0.342
0.137,0.171,0.273,0.234,0.265,0.342,0.348,0.41,0.404,0.388,0.339,0.343,0.366,0.34,0.286,0.278,0.31,0.383
0.033,0.033,0.061,0.075,0.1,0.111,0.152,0.142,0.182,0.168,0.194,0.163,0.184,0.192,0.21,0.215,0.198,0.242
0.081,0.106,0.101,0.126,0.152,0.161,0.161,0.172,0.182,0.176,0.197,0.191,0.183,0.179,0.156,0.177,0.227,0.295
-0.003,0.007,0,0.025,0.03,0.122,0.133,0.148,0.192,0.171,0.187,0.185,0.182,0.197,0.209,0.214,0.201,0.207
0.153,0.163,0.163,0.169,0.181,0.197,0.187,0.216,0.266,0.267,0.282,0.297,0.303,0.319,0.344,0.313,0.301,0.323
0.121,0.138,0.195,0.206,0.216,0.237,0.22,0.22,0.292,0.339,0.33,0.322,0.331,0.283,0.327,0.351,0.418,0.349
0.233,0.38,0.515,0.449,0.317,0.264,0.466,0.509,0.578,0.529,0.452,0.605,0.576,0.558,0.589,0.448,0.497,0.495
0.138,0.193,0.238,0.243,0.272,0.203,0.206,0.205,0.269,0.247,0.252,0.279,0.263,0.274,0.258,0.288,0.235,0.285
0.085,0.115,0.152,0.195,0.168,0.201,0.195,0.209,0.204,0.213,0.211,0.223,0.251,0.233,0.243,0.182,0.221,0.248
0.138,0.16,0.181,0.197,0.263,0.253,0.279,0.321,0.326,0.369,0.351,0.36,0.369,0.355,0.373,0.383,0.325,0.312
0.047,0.079,0.095,0.086,0.102,0.163,0.158,0.154,0.177,0.197,0.186,0.164,0.169,0.17,0.19,0.195,0.225,0.238
0.052,0.091,0.112,0.165,0.16,0.163,0.146,0.167,0.185,0.161,0.181,0.192,0.197,0.185,0.185,0.2,0.219,0.244
0.031,0.123,0.08,0.103,0.145,0.133,0.169,0.191,0.226,0.223,0.292,0.259,0.238,0.198,0.21,0.203,0.26,0.285
0.043,0.072,0.074,0.098,0.115,0.158,0.176,0.203,0.19,0.196,0.192,0.185,0.162,0.208,0.212,0.204,0.189,0.198
0.122,0.154,0.166,0.148,0.165,0.161,0.205,0.266,0.272,0.32,0.303,0.262,0.252,0.255,0.26,0.276,0.284,0.296
0.143,0.148,0.17,0.19,0.229,0.246,0.292,0.301,0.311,0.328,0.327,0.439,0.419,0.362,0.319,0.34,0.344,0.365
0.11,0.085,0.096,0.114,0.123,0.144,0.141,0.134,0.154,0.153,0.162,0.151,0.147,0.204,0.167,0.192,0.228,0.232
0.413,0.53,0.454,0.537,0.694,0.768,0.644,0.794,0.756,0.641,0.738,1,0.675,0.803,0.814,0.713,0.668,0.829
0.037,0.052,0.064,0.087,0.088,0.094,0.118,0.113,0.139,0.149,0.168,0.185,0.167,0.173,0.133,0.17,0.159,0.172
0.109,0.095,0.121,0.148,0.167,0.178,0.199,0.279,0.319,0.323,0.295,0.286,0.235,0.259,0.234,0.264,0.27,0.306
