2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.108,0.120,0.072,0.060,0.084,0.133,0.181,0.193,0.229,0.241,0.325,0.361,0.422,0.398,0.373,0.386,0.410,0.482
0.325,0.373,0.422,0.470,0.506,0.554,0.566,0.614,0.627,0.627,0.639,0.687,0.747,0.759,0.759,0.783,0.819,0.855
0.265,0.301,0.301,0.349,0.398,0.458,0.470,0.458,0.494,0.542,0.614,0.651,0.651,0.663,0.651,0.663,0.651,0.651
0.325,0.349,0.349,0.410,0.470,0.530,0.566,0.578,0.590,0.590,0.651,0.663,0.687,0.711,0.747,0.771,0.759,0.771
0.373,0.410,0.398,0.434,0.470,0.554,0.566,0.566,0.578,0.627,0.663,0.687,0.723,0.723,0.771,0.747,0.795,0.759
0.193,0.217,0.277,0.301,0.361,0.373,0.446,0.482,0.578,0.651,0.687,0.747,0.807,0.892,0.904,0.976,0.940,1.000
0.205,0.217,0.241,0.253,0.277,0.301,0.386,0.410,0.470,0.458,0.506,0.518,0.554,0.566,0.566,0.590,0.602,0.639
0.229,0.277,0.301,0.313,0.349,0.398,0.482,0.494,0.506,0.518,0.590,0.627,0.651,0.639,0.639,0.663,0.711,0.735
0.229,0.265,0.277,0.289,0.313,0.386,0.434,0.458,0.482,0.482,0.602,0.614,0.663,0.651,0.663,0.699,0.699,0.735
0.120,0.169,0.145,0.157,0.169,0.217,0.289,0.325,0.349,0.337,0.398,0.410,0.482,0.458,0.470,0.446,0.482,0.518
0.120,0.169,0.181,0.229,0.289,0.301,0.313,0.289,0.313,0.337,0.410,0.446,0.494,0.506,0.482,0.494,0.506,0.602
0.313,0.349,0.313,0.361,0.386,0.494,0.542,0.554,0.554,0.530,0.542,0.542,0.554,0.627,0.627,0.675,0.699,0.711
0.157,0.157,0.133,0.181,0.265,0.398,0.482,0.518,0.578,0.578,0.578,0.578,0.675,0.699,0.699,0.711,0.723,0.759
0.470,0.542,0.506,0.506,0.482,0.542,0.590,0.651,0.675,0.699,0.747,0.771,0.819,0.843,0.867,0.867,0.867,0.880
0.265,0.253,0.265,0.289,0.325,0.386,0.398,0.434,0.482,0.530,0.590,0.578,0.590,0.602,0.651,0.663,0.663,0.639
0.301,0.337,0.313,0.313,0.337,0.410,0.458,0.506,0.530,0.554,0.566,0.554,0.578,0.614,0.602,0.614,0.614,0.639
0.157,0.157,0.145,0.169,0.217,0.265,0.337,0.386,0.434,0.458,0.494,0.518,0.542,0.602,0.651,0.663,0.639,0.614
0.012,0.048,0.096,0.084,0.133,0.169,0.265,0.289,0.313,0.349,0.422,0.506,0.542,0.554,0.518,0.554,0.542,0.554
0.506,0.639,0.675,0.759,0.759,0.807,0.819,0.867,0.855,0.867,0.855,0.819,0.867,0.892,0.940,0.928,0.904,0.976
0.289,0.313,0.313,0.349,0.434,0.494,0.518,0.530,0.566,0.627,0.663,0.711,0.687,0.699,0.699,0.747,0.735,0.747
0.060,0.084,0.133,0.145,0.133,0.181,0.229,0.277,0.277,0.289,0.398,0.482,0.542,0.518,0.518,0.542,0.578,0.602
0.036,0.048,0.048,0.108,0.133,0.217,0.265,0.289,0.337,0.349,0.410,0.446,0.482,0.542,0.530,0.554,0.602,0.614
0.325,0.386,0.361,0.398,0.422,0.482,0.458,0.494,0.518,0.590,0.602,0.639,0.627,0.651,0.663,0.663,0.675,0.675
0.000,0.036,0.012,0.012,0.012,0.072,0.120,0.193,0.229,0.313,0.386,0.458,0.446,0.506,0.458,0.530,0.506,0.554
0.337,0.337,0.277,0.301,0.349,0.410,0.434,0.458,0.494,0.518,0.578,0.614,0.651,0.699,0.663,0.675,0.675,0.735
0.373,0.422,0.434,0.446,0.482,0.518,0.590,0.639,0.747,0.771,0.831,0.819,0.831,0.843,0.807,0.867,0.843,0.928
0.145,0.145,0.145,0.181,0.229,0.277,0.301,0.325,0.349,0.398,0.434,0.494,0.578,0.602,0.602,0.614,0.687,0.711
0.181,0.217,0.229,0.301,0.373,0.458,0.458,0.470,0.494,0.554,0.614,0.614,0.627,0.554,0.578,0.578,0.675,0.627
0.012,0.024,0.012,0.060,0.133,0.169,0.193,0.193,0.229,0.277,0.361,0.373,0.446,0.434,0.446,0.434,0.506,0.542
0.012,0.096,0.108,0.169,0.217,0.265,0.301,0.325,0.386,0.434,0.494,0.530,0.578,0.590,0.602,0.627,0.663,0.699
0.145,0.181,0.181,0.217,0.253,0.289,0.313,0.325,0.373,0.446,0.518,0.530,0.542,0.590,0.590,0.614,0.590,0.639
0.422,0.482,0.434,0.470,0.470,0.566,0.614,0.711,0.735,0.735,0.711,0.711,0.795,0.843,0.867,0.867,0.880,0.940
