2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.576,0.587,0.563,0.526,0.495,0.470,0.413,0.370,0.377,0.271,0.262
0.306,0.315,0.291,0.270,0.239,0.215,0.169,0.140,0.169,0.098,0.107
0.208,0.204,0.206,0.220,0.217,0.211,0.200,0.188,0.197,0.144,0.149
0.505,0.517,0.479,0.434,0.390,0.364,0.304,0.235,0.279,0.173,0.180
0.180,0.182,0.173,0.180,0.171,0.169,0.148,0.124,0.135,0.095,0.093
0.625,0.648,0.577,0.528,0.475,0.444,0.390,0.355,0.413,0.321,0.350
0.357,0.368,0.348,0.344,0.321,0.311,0.271,0.250,0.266,0.193,0.146
0.417,0.430,0.395,0.372,0.328,0.301,0.246,0.202,0.235,0.155,0.160
0.519,0.548,0.528,0.501,0.466,0.450,0.392,0.317,0.364,0.253,0.257
0.517,0.512,0.472,0.454,0.415,0.388,0.341,0.310,0.324,0.251,0.250
0.707,0.745,0.636,0.576,0.519,0.486,0.395,0.357,0.403,0.299,0.302
0.543,0.537,0.497,0.455,0.419,0.379,0.319,0.286,0.291,0.235,0.228
0.652,0.658,0.565,0.506,0.454,0.421,0.341,0.297,0.328,0.231,0.240
0.302,0.324,0.293,0.279,0.239,0.211,0.162,0.120,0.171,0.080,0.087
0.197,0.199,0.204,0.222,0.219,0.217,0.209,0.188,0.200,0.140,0.153
0.322,0.333,0.324,0.308,0.284,0.257,0.219,0.179,0.215,0.137,0.144
0.388,0.403,0.373,0.352,0.321,0.295,0.244,0.211,0.242,0.164,0.104
0.723,0.740,0.692,0.643,0.597,0.550,0.479,0.443,0.481,0.392,0.410
0.404,0.404,0.361,0.335,0.310,0.286,0.233,0.222,0.253,0.206,0.226
0.146,0.158,0.148,0.146,0.126,0.100,0.077,0.069,0.098,0.053,0.066
0.541,0.548,0.503,0.479,0.448,0.428,0.381,0.355,0.350,0.279,0.279
0.508,0.515,0.477,0.459,0.430,0.408,0.357,0.326,0.335,0.266,0.264
0.253,0.259,0.228,0.211,0.186,0.171,0.142,0.128,0.148,0.095,0.091
0.689,0.710,0.616,0.548,0.477,0.435,0.348,0.301,0.355,0.213,0.219
0.383,0.397,0.381,0.346,0.308,0.271,0.204,0.175,0.213,0.109,0.120
0.080,0.075,0.060,0.060,0.044,0.035,0.013,0.004,0.027,0.000,0.007
0.536,0.539,0.470,0.441,0.424,0.412,0.373,0.355,0.366,0.301,0.275
0.180,0.184,0.177,0.180,0.169,0.155,0.131,0.113,0.131,0.075,0.031
0.954,1.000,0.860,0.780,0.689,0.647,0.543,0.479,0.566,0.375,0.404
0.512,0.530,0.481,0.446,0.406,0.368,0.308,0.277,0.295,0.197,0.206
0.335,0.339,0.317,0.297,0.260,0.246,0.202,0.191,0.222,0.157,0.166
