2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.344,0.359,0.360,0.354,0.402,0.385,0.400,0.378,0.322,0.323,0.304,0.273,0.254,0.208,0.173,0.168,0.189,0.118
0.242,0.231,0.255,0.283,0.309,0.328,0.281,0.207,0.158,0.150,0.141,0.128,0.130,0.113,0.076,0.077,0.095,0.049
0.229,0.234,0.237,0.206,0.217,0.184,0.205,0.142,0.136,0.120,0.104,0.067,0.033,0.035,0.023,0.028,0.033,0.003
0.377,0.354,0.358,0.362,0.404,0.400,0.386,0.297,0.248,0.221,0.239,0.236,0.256,0.190,0.146,0.152,0.162,0.118
0.204,0.198,0.236,0.260,0.269,0.267,0.264,0.225,0.175,0.189,0.148,0.120,0.116,0.089,0.074,0.085,0.092,0.035
0.894,0.883,0.991,1.000,0.934,0.794,0.708,0.712,0.558,0.536,0.518,0.521,0.537,0.461,0.364,0.347,0.366,0.265
0.313,0.276,0.305,0.320,0.298,0.268,0.264,0.217,0.200,0.223,0.224,0.206,0.204,0.179,0.140,0.144,0.143,0.102
0.380,0.373,0.375,0.387,0.356,0.330,0.339,0.326,0.281,0.256,0.260,0.273,0.233,0.197,0.140,0.141,0.154,0.109
0.273,0.260,0.278,0.283,0.280,0.250,0.235,0.224,0.190,0.171,0.164,0.146,0.128,0.119,0.117,0.108,0.114,0.062
0.440,0.394,0.403,0.438,0.432,0.421,0.415,0.376,0.385,0.340,0.274,0.236,0.195,0.165,0.134,0.151,0.159,0.121
0.688,0.652,0.670,0.644,0.633,0.574,0.524,0.440,0.450,0.381,0.349,0.323,0.310,0.298,0.256,0.240,0.256,0.211
0.607,0.578,0.589,0.590,0.557,0.514,0.475,0.456,0.395,0.385,0.374,0.404,0.380,0.347,0.279,0.313,0.316,0.242
0.506,0.475,0.571,0.588,0.541,0.511,0.499,0.393,0.363,0.306,0.265,0.239,0.257,0.207,0.177,0.201,0.230,0.186
0.163,0.166,0.190,0.215,0.188,0.177,0.156,0.118,0.078,0.094,0.095,0.083,0.063,0.048,0.024,0.023,0.038,0.002
0.174,0.195,0.239,0.231,0.244,0.228,0.232,0.194,0.136,0.149,0.129,0.134,0.126,0.108,0.080,0.079,0.104,0.060
0.284,0.291,0.335,0.334,0.334,0.305,0.310,0.299,0.263,0.239,0.210,0.193,0.191,0.129,0.101,0.138,0.131,0.084
0.455,0.411,0.427,0.485,0.436,0.375,0.350,0.284,0.256,0.250,0.229,0.231,0.238,0.191,0.137,0.152,0.167,0.120
0.792,0.717,0.751,0.793,0.824,0.752,0.716,0.662,0.526,0.493,0.454,0.435,0.392,0.397,0.315,0.336,0.359,0.250
0.745,0.701,0.627,0.683,0.620,0.533,0.465,0.466,0.453,0.411,0.383,0.397,0.393,0.404,0.322,0.345,0.364,0.296
0.252,0.236,0.218,0.232,0.292,0.269,0.248,0.184,0.157,0.125,0.114,0.115,0.114,0.078,0.049,0.057,0.062,0.021
0.688,0.656,0.747,0.700,0.632,0.556,0.484,0.427,0.369,0.350,0.345,0.341,0.349,0.308,0.273,0.268,0.287,0.209
0.335,0.298,0.315,0.312,0.366,0.424,0.392,0.363,0.337,0.335,0.293,0.278,0.242,0.195,0.151,0.140,0.174,0.107
0.209,0.196,0.219,0.223,0.246,0.212,0.209,0.176,0.147,0.147,0.136,0.132,0.117,0.096,0.055,0.068,0.083,0.039
0.522,0.516,0.537,0.530,0.518,0.448,0.496,0.424,0.402,0.348,0.340,0.319,0.265,0.255,0.210,0.203,0.207,0.146
0.266,0.275,0.323,0.331,0.319,0.275,0.242,0.234,0.190,0.214,0.200,0.201,0.188,0.154,0.112,0.108,0.097,0.053
0.204,0.182,0.215,0.232,0.193,0.184,0.169,0.130,0.097,0.091,0.080,0.082,0.087,0.079,0.046,0.049,0.046,0.022
0.600,0.525,0.607,0.613,0.622,0.571,0.517,0.472,0.464,0.442,0.396,0.377,0.339,0.304,0.271,0.249,0.259,0.196
0.163,0.147,0.181,0.172,0.201,0.222,0.198,0.179,0.125,0.134,0.111,0.094,0.075,0.058,0.037,0.047,0.044,0.000
0.598,0.606,0.641,0.701,0.651,0.579,0.516,0.476,0.420,0.340,0.307,0.321,0.319,0.299,0.249,0.234,0.239,0.184
0.353,0.326,0.417,0.453,0.424,0.393,0.401,0.367,0.293,0.289,0.296,0.289,0.232,0.220,0.174,0.148,0.161,0.091
0.408,0.387,0.394,0.396,0.348,0.313,0.280,0.271,0.222,0.183,0.183,0.167,0.156,0.171,0.121,0.125,0.133,0.095
