2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.106,0.045,0.03,0.045,0.106,0.167,0.167,0.182,0.197,0.273,0.303,0.333,0.333,0.333,0.379,0.379,0.394
0.273,0.318,0.364,0.394,0.424,0.47,0.515,0.561,0.561,0.591,0.621,0.667,0.682,0.682,0.712,0.712,0.727
0.212,0.182,0.212,0.258,0.364,0.409,0.424,0.455,0.47,0.515,0.53,0.53,0.561,0.53,0.561,0.561,0.576
0.379,0.348,0.379,0.424,0.515,0.576,0.606,0.606,0.576,0.636,0.621,0.636,0.652,0.682,0.697,0.682,0.712
0.333,0.318,0.348,0.394,0.47,0.47,0.47,0.5,0.53,0.576,0.561,0.606,0.606,0.652,0.636,0.667,0.652
0.273,0.273,0.258,0.303,0.333,0.394,0.455,0.561,0.667,0.727,0.773,0.818,0.909,0.894,0.97,0.924,1
0.167,0.167,0.182,0.242,0.273,0.348,0.348,0.394,0.394,0.439,0.47,0.5,0.515,0.5,0.515,0.515,0.545
0.212,0.258,0.288,0.318,0.379,0.424,0.424,0.409,0.424,0.485,0.515,0.53,0.53,0.545,0.576,0.621,0.652
0.212,0.227,0.242,0.288,0.333,0.379,0.394,0.424,0.439,0.53,0.545,0.591,0.576,0.576,0.606,0.606,0.652
0.197,0.136,0.136,0.152,0.242,0.273,0.273,0.273,0.273,0.348,0.348,0.409,0.379,0.409,0.379,0.409,0.439
0.242,0.258,0.273,0.303,0.303,0.348,0.364,0.379,0.364,0.348,0.394,0.439,0.47,0.455,0.455,0.485,0.545
0.394,0.379,0.409,0.424,0.485,0.5,0.5,0.515,0.485,0.515,0.515,0.515,0.576,0.561,0.606,0.606,0.636
0.167,0.152,0.197,0.288,0.394,0.455,0.5,0.561,0.576,0.576,0.561,0.636,0.667,0.667,0.652,0.682,0.727
0.5,0.439,0.439,0.409,0.485,0.53,0.591,0.606,0.667,0.727,0.742,0.758,0.773,0.773,0.788,0.803,0.818
0.167,0.152,0.182,0.197,0.273,0.303,0.379,0.424,0.455,0.515,0.53,0.53,0.515,0.545,0.561,0.545,0.545
0.258,0.227,0.242,0.273,0.364,0.424,0.455,0.439,0.485,0.5,0.5,0.53,0.53,0.515,0.53,0.545,0.561
0.121,0.106,0.106,0.152,0.182,0.258,0.288,0.364,0.409,0.47,0.5,0.5,0.545,0.561,0.591,0.53,0.53
0.121,0.106,0.106,0.106,0.167,0.227,0.242,0.242,0.303,0.364,0.439,0.455,0.485,0.485,0.5,0.455,0.485
0.606,0.636,0.697,0.712,0.758,0.742,0.803,0.788,0.833,0.803,0.742,0.788,0.833,0.848,0.848,0.879,0.985
0.197,0.197,0.227,0.303,0.394,0.394,0.409,0.455,0.515,0.561,0.576,0.545,0.606,0.591,0.682,0.652,0.682
0.106,0.136,0.121,0.121,0.167,0.242,0.273,0.288,0.303,0.409,0.455,0.5,0.5,0.5,0.5,0.515,0.53
0.061,0.03,0.061,0.061,0.152,0.197,0.227,0.288,0.333,0.394,0.409,0.439,0.455,0.439,0.455,0.515,0.53
0.303,0.318,0.348,0.379,0.394,0.379,0.379,0.409,0.485,0.561,0.576,0.545,0.53,0.545,0.561,0.561,0.591
0.045,0.061,0.061,0.03,0.061,0.091,0.182,0.227,0.288,0.348,0.409,0.394,0.424,0.379,0.47,0.455,0.5
0.288,0.227,0.242,0.258,0.318,0.364,0.394,0.424,0.455,0.5,0.53,0.53,0.576,0.561,0.561,0.576,0.636
0.288,0.288,0.333,0.394,0.455,0.515,0.561,0.667,0.712,0.742,0.742,0.727,0.758,0.742,0.788,0.773,0.848
0.182,0.182,0.197,0.212,0.288,0.333,0.379,0.394,0.394,0.424,0.47,0.545,0.53,0.515,0.5,0.621,0.636
0.136,0.152,0.197,0.273,0.348,0.364,0.348,0.379,0.424,0.515,0.515,0.515,0.455,0.5,0.5,0.576,0.545
0.045,0,0.045,0.091,0.136,0.121,0.106,0.136,0.197,0.288,0.303,0.364,0.348,0.364,0.364,0.439,0.47
0.076,0.091,0.152,0.182,0.227,0.258,0.303,0.318,0.379,0.439,0.485,0.53,0.545,0.53,0.545,0.576,0.652
0.136,0.152,0.167,0.197,0.227,0.273,0.288,0.333,0.379,0.439,0.439,0.47,0.5,0.485,0.5,0.5,0.561
