2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.026,0.000,0.039,0.039,0.130,0.169,0.221,0.234,0.286,0.299,0.351,0.338,0.351,0.325,0.351,0.351,0.364
0.312,0.338,0.377,0.416,0.468,0.506,0.532,0.545,0.558,0.597,0.649,0.688,0.701,0.701,0.727,0.740,0.753
0.247,0.260,0.299,0.351,0.377,0.416,0.442,0.442,0.481,0.506,0.532,0.532,0.532,0.506,0.506,0.494,0.519
0.260,0.273,0.312,0.364,0.455,0.481,0.506,0.494,0.519,0.571,0.545,0.558,0.558,0.558,0.584,0.623,0.701
0.299,0.312,0.351,0.403,0.442,0.468,0.494,0.494,0.532,0.558,0.597,0.610,0.623,0.623,0.623,0.636,0.636
0.169,0.208,0.234,0.247,0.286,0.338,0.390,0.416,0.481,0.584,0.649,0.662,0.701,0.727,0.779,0.818,0.870
0.260,0.273,0.286,0.338,0.390,0.416,0.429,0.468,0.468,0.494,0.481,0.545,0.558,0.597,0.584,0.610,0.623
0.234,0.208,0.234,0.260,0.351,0.403,0.455,0.468,0.481,0.494,0.519,0.558,0.597,0.636,0.649,0.649,0.662
0.221,0.234,0.260,0.312,0.364,0.416,0.416,0.442,0.481,0.519,0.584,0.584,0.597,0.558,0.558,0.571,0.610
0.091,0.078,0.078,0.065,0.117,0.156,0.208,0.234,0.286,0.338,0.364,0.377,0.403,0.429,0.468,0.494,0.532
0.182,0.208,0.234,0.234,0.208,0.234,0.273,0.390,0.416,0.442,0.416,0.468,0.494,0.506,0.494,0.494,0.584
0.260,0.221,0.273,0.299,0.429,0.351,0.312,0.286,0.403,0.442,0.481,0.455,0.519,0.468,0.494,0.468,0.519
0.078,0.104,0.143,0.208,0.299,0.299,0.312,0.351,0.442,0.519,0.545,0.571,0.584,0.584,0.584,0.623,0.636
0.390,0.403,0.429,0.455,0.481,0.506,0.584,0.662,0.714,0.740,0.753,0.779,0.805,0.805,0.818,0.844,0.896
0.182,0.195,0.221,0.260,0.299,0.325,0.364,0.390,0.416,0.455,0.481,0.506,0.532,0.545,0.545,0.494,0.506
0.234,0.260,0.247,0.299,0.299,0.364,0.390,0.455,0.481,0.519,0.519,0.545,0.545,0.597,0.623,0.649,0.610
0.117,0.130,0.143,0.195,0.247,0.299,0.351,0.403,0.442,0.481,0.481,0.506,0.494,0.506,0.519,0.545,0.545
0.039,0.078,0.156,0.208,0.182,0.208,0.221,0.273,0.338,0.351,0.364,0.338,0.403,0.455,0.558,0.545,0.558
0.545,0.519,0.584,0.623,0.727,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.831,0.870,0.961,0.961,1.000
0.273,0.286,0.338,0.338,0.377,0.403,0.468,0.519,0.571,0.597,0.610,0.597,0.649,0.649,0.688,0.649,0.649
0.078,0.117,0.156,0.208,0.234,0.260,0.247,0.299,0.325,0.403,0.416,0.416,0.455,0.455,0.468,0.455,0.494
0.039,0.078,0.117,0.117,0.156,0.195,0.195,0.221,0.260,0.351,0.390,0.429,0.468,0.468,0.494,0.481,0.506
0.273,0.260,0.312,0.351,0.442,0.468,0.468,0.506,0.519,0.571,0.558,0.545,0.532,0.532,0.584,0.610,0.623
0.013,0.039,0.117,0.169,0.208,0.234,0.234,0.234,0.247,0.351,0.377,0.416,0.416,0.468,0.494,0.532,0.584
0.234,0.247,0.273,0.299,0.351,0.403,0.455,0.481,0.494,0.519,0.545,0.584,0.610,0.571,0.597,0.597,0.675
0.286,0.338,0.351,0.390,0.416,0.468,0.494,0.584,0.610,0.636,0.623,0.662,0.714,0.714,0.740,0.714,0.753
0.078,0.143,0.169,0.195,0.273,0.325,0.351,0.338,0.312,0.364,0.403,0.429,0.455,0.468,0.494,0.468,0.468
0.208,0.273,0.338,0.351,0.390,0.390,0.429,0.455,0.494,0.519,0.545,0.571,0.571,0.571,0.571,0.610,0.610
0.000,0.013,0.078,0.104,0.117,0.130,0.143,0.195,0.221,0.273,0.286,0.325,0.351,0.390,0.403,0.455,0.481
0.039,0.078,0.130,0.182,0.182,0.234,0.286,0.351,0.403,0.455,0.506,0.545,0.519,0.506,0.532,0.584,0.636
0.117,0.143,0.195,0.208,0.221,0.234,0.273,0.286,0.325,0.390,0.429,0.442,0.455,0.494,0.519,0.532,0.558
0.364,0.364,0.377,0.442,0.571,0.662,0.753,0.753,0.766,0.740,0.727,0.753,0.805,0.831,0.844,0.857,0.974
