2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.134,0.179,0.161,0.187,0.223,0.268,0.295,0.295,0.304,0.330,0.393,0.429,0.437,0.429,0.429,0.429,0.455,0.473
0.429,0.437,0.473,0.500,0.509,0.554,0.589,0.634,0.643,0.661,0.705,0.759,0.804,0.830,0.821,0.830,0.848,0.866
0.384,0.384,0.393,0.437,0.491,0.509,0.527,0.554,0.580,0.625,0.634,0.661,0.661,0.679,0.661,0.661,0.652,0.661
0.295,0.286,0.295,0.339,0.402,0.455,0.482,0.509,0.527,0.571,0.616,0.616,0.634,0.643,0.643,0.670,0.679,0.723
0.402,0.429,0.446,0.482,0.518,0.562,0.589,0.607,0.625,0.652,0.696,0.723,0.750,0.759,0.768,0.768,0.777,0.768
0.080,0.143,0.179,0.241,0.259,0.321,0.375,0.437,0.491,0.536,0.616,0.661,0.714,0.777,0.804,0.839,0.857,0.893
0.330,0.357,0.366,0.366,0.393,0.420,0.455,0.491,0.554,0.562,0.571,0.571,0.634,0.661,0.688,0.679,0.688,0.679
0.268,0.286,0.295,0.321,0.366,0.420,0.464,0.500,0.518,0.509,0.518,0.562,0.634,0.688,0.723,0.714,0.732,0.723
0.321,0.375,0.348,0.366,0.384,0.446,0.491,0.518,0.545,0.571,0.625,0.688,0.688,0.688,0.661,0.670,0.679,0.705
0.143,0.134,0.125,0.170,0.187,0.214,0.214,0.259,0.304,0.384,0.455,0.509,0.527,0.562,0.562,0.589,0.580,0.607
0.080,0.134,0.152,0.161,0.205,0.196,0.241,0.250,0.348,0.375,0.429,0.429,0.473,0.509,0.536,0.554,0.545,0.616
0.205,0.250,0.259,0.295,0.321,0.420,0.402,0.411,0.402,0.473,0.509,0.545,0.545,0.607,0.580,0.625,0.607,0.625
0.152,0.179,0.170,0.179,0.223,0.295,0.312,0.330,0.375,0.455,0.536,0.580,0.643,0.643,0.643,0.652,0.688,0.723
0.429,0.491,0.509,0.518,0.545,0.562,0.625,0.696,0.759,0.777,0.777,0.804,0.839,0.866,0.857,0.875,0.893,0.946
0.348,0.339,0.348,0.384,0.446,0.482,0.491,0.500,0.527,0.527,0.554,0.580,0.616,0.661,0.670,0.661,0.616,0.625
0.321,0.312,0.339,0.357,0.411,0.420,0.473,0.491,0.527,0.536,0.607,0.634,0.670,0.679,0.696,0.723,0.723,0.625
0.214,0.214,0.241,0.268,0.321,0.366,0.393,0.437,0.473,0.527,0.562,0.598,0.616,0.634,0.634,0.652,0.652,0.652
0.054,0.071,0.054,0.107,0.170,0.196,0.223,0.232,0.286,0.348,0.393,0.446,0.464,0.536,0.536,0.598,0.598,0.616
0.482,0.545,0.562,0.625,0.688,0.777,0.786,0.804,0.777,0.786,0.777,0.812,0.848,0.911,0.955,0.982,0.937,0.946
0.411,0.437,0.446,0.491,0.509,0.545,0.571,0.625,0.679,0.714,0.732,0.759,0.759,0.812,0.786,0.795,0.777,0.786
0.027,0.036,0.071,0.125,0.187,0.214,0.268,0.268,0.321,0.366,0.429,0.482,0.491,0.536,0.518,0.527,0.536,0.580
0.071,0.125,0.161,0.214,0.223,0.268,0.304,0.321,0.330,0.366,0.437,0.482,0.527,0.545,0.545,0.571,0.562,0.580
0.357,0.402,0.384,0.429,0.455,0.536,0.589,0.598,0.634,0.643,0.670,0.661,0.661,0.679,0.696,0.723,0.732,0.741
0.000,0.054,0.089,0.143,0.179,0.179,0.241,0.259,0.321,0.330,0.420,0.446,0.509,0.518,0.562,0.589,0.625,0.670
0.339,0.357,0.384,0.411,0.420,0.455,0.491,0.536,0.571,0.580,0.625,0.661,0.705,0.714,0.705,0.741,0.741,0.786
0.420,0.455,0.509,0.536,0.580,0.607,0.652,0.670,0.723,0.750,0.768,0.786,0.804,0.839,0.830,0.857,0.857,0.875
0.054,0.080,0.116,0.170,0.223,0.295,0.321,0.321,0.348,0.375,0.437,0.464,0.509,0.545,0.545,0.571,0.554,0.589
0.330,0.384,0.402,0.473,0.473,0.518,0.527,0.554,0.571,0.589,0.625,0.679,0.714,0.714,0.723,0.705,0.723,0.705
0.000,0.000,0.018,0.089,0.170,0.196,0.196,0.187,0.250,0.295,0.348,0.384,0.429,0.473,0.509,0.527,0.562,0.589
0.152,0.143,0.179,0.205,0.259,0.250,0.321,0.375,0.446,0.482,0.554,0.571,0.616,0.580,0.589,0.598,0.661,0.705
0.214,0.241,0.259,0.312,0.312,0.357,0.384,0.429,0.464,0.500,0.545,0.571,0.580,0.598,0.625,0.652,0.670,0.696
0.393,0.384,0.411,0.437,0.491,0.589,0.670,0.750,0.759,0.759,0.741,0.732,0.777,0.821,0.848,0.866,0.893,1.000
