2009,2010,2011,2012,2013,2014,2015
0.739,0.625,0.591,0.455,0.500,0.489,0.500
0.273,0.250,0.307,0.239,0.102,0.125,0.068
0.409,0.364,0.227,0.295,0.318,0.227,0.159
0.364,0.409,0.284,0.114,0.182,0.136,0.091
0.318,0.330,0.432,0.307,0.500,0.330,0.227
0.466,0.568,0.659,1.000,0.330,0.341,0.341
0.625,0.591,0.534,0.341,0.182,0.216,0.170
0.398,0.341,0.205,0.216,0.216,0.182,0.205
0.534,0.500,0.318,0.318,0.318,0.193,0.239
0.591,0.545,0.398,0.625,0.580,0.409,0.545
0.682,0.545,0.284,0.636,0.205,0.182,0.125
0.477,0.432,0.364,0.284,0.205,0.125,0.114
0.614,0.591,0.330,0.261,0.239,0.239,0.250
0.170,0.148,0.125,0.068,0.045,0.011,0.000
0.375,0.295,0.352,0.375,0.330,0.295,0.227
0.455,0.364,0.284,0.250,0.239,0.114,0.159
0.375,0.364,0.341,0.341,0.307,0.205,0.125
0.670,0.545,0.795,0.841,0.409,0.432,0.091
0.409,0.443,0.625,0.818,0.420,0.250,0.193
0.227,0.193,0.216,0.250,0.318,0.284,0.136
0.705,0.682,0.250,0.693,0.148,0.091,0.068
0.398,0.375,0.420,0.182,0.239,0.239,0.205
0.477,0.466,0.364,0.295,0.364,0.330,0.239
0.602,0.568,0.364,0.443,0.295,0.330,0.261
0.307,0.307,0.295,0.250,0.227,0.216,0.216
0.239,0.273,0.432,0.284,0.352,0.330,0.193
0.830,0.795,0.341,0.716,0.170,0.068,0.091
0.341,0.318,0.318,0.284,0.295,0.205,0.114
0.523,0.443,0.409,0.398,0.364,0.227,0.227
0.352,0.318,0.250,0.261,0.216,0.182,0.182
0.330,0.352,0.420,0.648,0.239,0.170,0.182
