2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.075,0.074,0.073,0.073,0.070,0.091,0.106,0.099,0.078,0.093,0.128,0.131,0.124,0.139,0.156,0.162,0.177,0.180
0.599,0.604,0.602,0.608,0.593,0.599,0.612,0.602,0.625,0.601,0.696,0.662,0.693,0.708,0.729,0.734,0.734,0.773
0.272,0.280,0.275,0.281,0.291,0.288,0.279,0.274,0.265,0.265,0.318,0.312,0.320,0.319,0.341,0.353,0.377,0.391
0.279,0.272,0.281,0.281,0.278,0.276,0.272,0.261,0.227,0.219,0.249,0.240,0.246,0.239,0.261,0.258,0.283,0.293
0.448,0.458,0.453,0.455,0.452,0.443,0.440,0.427,0.413,0.404,0.412,0.420,0.428,0.441,0.464,0.478,0.493,0.508
0.100,0.096,0.091,0.090,0.081,0.050,0.051,0.051,0.043,0.044,0.036,0.031,0.022,0.023,0.028,0.029,0.030,0.034
0.460,0.460,0.454,0.452,0.441,0.428,0.426,0.425,0.393,0.381,0.380,0.389,0.397,0.411,0.431,0.443,0.465,0.480
0.475,0.473,0.471,0.472,0.457,0.448,0.446,0.414,0.408,0.406,0.403,0.408,0.393,0.435,0.428,0.440,0.445,0.472
0.572,0.544,0.551,0.575,0.562,0.552,0.583,0.581,0.554,0.559,0.648,0.606,0.657,0.639,0.684,0.725,0.739,0.757
0.350,0.352,0.358,0.363,0.373,0.367,0.360,0.354,0.333,0.329,0.330,0.344,0.335,0.336,0.351,0.362,0.368,0.392
0.072,0.072,0.075,0.070,0.061,0.056,0.066,0.064,0.058,0.052,0.051,0.044,0.041,0.038,0.044,0.049,0.056,0.058
0.089,0.094,0.095,0.093,0.094,0.084,0.091,0.089,0.075,0.078,0.074,0.065,0.053,0.062,0.062,0.064,0.074,0.076
0.106,0.103,0.101,0.103,0.094,0.094,0.095,0.095,0.080,0.071,0.071,0.073,0.074,0.076,0.085,0.090,0.098,0.103
0.107,0.107,0.120,0.113,0.111,0.107,0.104,0.098,0.092,0.085,0.149,0.159,0.173,0.172,0.186,0.192,0.205,0.219
0.541,0.537,0.547,0.501,0.499,0.516,0.553,0.534,0.527,0.544,0.535,0.546,0.551,0.576,0.603,0.613,0.644,0.669
0.917,0.894,0.904,0.883,0.872,0.861,0.855,0.840,0.844,0.858,0.841,0.836,0.879,0.913,0.958,0.948,0.989,1.000
0.625,0.613,0.610,0.602,0.605,0.578,0.590,0.558,0.551,0.550,0.536,0.548,0.557,0.567,0.586,0.587,0.604,0.612
0.037,0.035,0.033,0.033,0.022,0.019,0.021,0.020,0.014,0.009,0.006,0.005,0.003,0.000,0.005,0.005,0.010,0.013
0.088,0.086,0.084,0.079,0.076,0.073,0.079,0.067,0.060,0.059,0.060,0.059,0.048,0.046,0.056,0.055,0.061,0.065
0.301,0.290,0.282,0.283,0.280,0.275,0.260,0.264,0.253,0.253,0.284,0.253,0.257,0.259,0.267,0.273,0.290,0.296
0.254,0.252,0.244,0.234,0.218,0.209,0.207,0.207,0.195,0.182,0.177,0.176,0.170,0.166,0.177,0.180,0.196,0.213
0.233,0.232,0.230,0.227,0.215,0.209,0.207,0.206,0.196,0.188,0.187,0.193,0.192,0.191,0.204,0.214,0.236,0.252
0.133,0.134,0.129,0.122,0.120,0.116,0.113,0.112,0.104,0.098,0.098,0.096,0.099,0.101,0.106,0.108,0.116,0.122
0.244,0.237,0.229,0.232,0.241,0.255,0.270,0.275,0.265,0.277,0.266,0.251,0.246,0.225,0.257,0.270,0.284,0.312
0.307,0.315,0.306,0.299,0.293,0.319,0.331,0.328,0.301,0.303,0.361,0.403,0.402,0.405,0.424,0.424,0.442,0.455
0.243,0.241,0.240,0.236,0.231,0.221,0.214,0.213,0.199,0.191,0.185,0.184,0.196,0.195,0.204,0.209,0.217,0.225
0.228,0.229,0.224,0.215,0.205,0.201,0.201,0.207,0.189,0.184,0.178,0.177,0.165,0.161,0.172,0.175,0.183,0.195
0.152,0.153,0.153,0.150,0.144,0.143,0.136,0.139,0.113,0.113,0.106,0.110,0.115,0.119,0.130,0.137,0.151,0.162
0.267,0.263,0.266,0.272,0.264,0.258,0.275,0.279,0.262,0.261,0.271,0.254,0.240,0.244,0.247,0.242,0.260,0.277
0.166,0.177,0.167,0.173,0.154,0.167,0.163,0.156,0.141,0.139,0.191,0.169,0.181,0.195,0.233,0.217,0.230,0.243
0.297,0.297,0.286,0.277,0.267,0.257,0.210,0.236,0.222,0.205,0.213,0.198,0.198,0.190,0.190,0.198,0.201,0.225
