2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.788,0.720,0.645,0.543,0.567,0.662,0.669,0.625,0.679,0.157,0.474,0.242,0.307,0.242
0.389,0.287,0.413,0.410,0.396,0.386,0.273,0.287,0.365,0.198,0.143,0.276,0.171,0.140
0.235,0.205,0.287,0.314,0.382,0.536,0.324,0.246,0.239,0.263,0.195,0.188,0.177,0.188
0.543,0.358,0.553,0.352,0.283,0.307,0.403,0.471,0.290,0.140,0.184,0.218,0.143,0.215
0.218,0.130,0.256,0.256,0.201,0.232,0.375,0.290,0.259,0.512,0.280,0.198,0.137,0.055
0.440,0.590,0.594,0.502,0.543,0.573,0.515,0.628,0.532,0.177,0.427,0.505,0.389,0.420
0.328,0.290,0.287,0.324,0.365,0.273,0.348,0.420,0.294,0.317,0.311,0.164,0.140,0.239
0.420,0.410,0.420,0.341,0.365,0.423,0.283,0.410,0.324,0.505,0.362,0.157,0.137,0.123
0.386,0.433,0.440,0.451,0.590,0.638,0.635,0.573,0.433,0.454,0.324,0.246,0.300,0.375
0.464,0.509,0.512,0.491,0.505,0.573,0.427,0.454,0.341,0.549,0.369,0.215,0.270,0.232
0.823,1.000,0.877,0.706,0.556,0.451,0.406,0.509,0.638,0.420,0.403,0.399,0.512,0.362
0.488,0.502,0.491,0.468,0.444,0.526,0.601,0.522,0.430,0.345,0.287,0.369,0.133,0.225
0.754,0.437,0.437,0.512,0.672,0.597,0.522,0.594,0.573,0.212,0.423,0.304,0.307,0.331
0.307,0.331,0.201,0.232,0.321,0.177,0.259,0.154,0.177,0.290,0.133,0.154,0.116,0.027
0.171,0.287,0.372,0.338,0.259,0.348,0.369,0.328,0.362,0.290,0.198,0.160,0.164,0.102
0.338,0.328,0.396,0.553,0.307,0.256,0.423,0.317,0.382,0.164,0.232,0.208,0.229,0.191
0.444,0.338,0.314,0.290,0.294,0.229,0.273,0.174,0.174,0.505,0.177,0.123,0.184,0.085
0.713,0.754,0.608,0.478,0.560,0.536,0.536,0.471,0.478,0.375,0.386,0.311,0.382,0.321
0.471,0.505,0.604,0.601,0.509,0.529,0.519,0.608,0.382,0.113,0.386,0.427,0.440,0.355
0.171,0.232,0.123,0.195,0.157,0.239,0.283,0.239,0.106,0.352,0.184,0.215,0.229,0.253
0.618,0.536,0.604,0.580,0.539,0.457,0.474,0.399,0.379,0.300,0.171,0.218,0.154,0.160
0.529,0.481,0.556,0.526,0.403,0.532,0.628,0.529,0.526,0.109,0.253,0.280,0.154,0.140
0.177,0.413,0.235,0.007,0.078,0.177,0.137,0.147,0.143,0.601,0.085,0.038,0.065,0.031
0.799,0.683,0.618,0.758,0.679,0.696,0.747,0.700,0.512,0.246,0.430,0.215,0.089,0.177
0.181,0.406,0.399,0.420,0.352,0.403,0.287,0.338,0.205,0.130,0.102,0.164,0.055,0.010
0.290,0.164,0.188,0.109,0.082,0.123,0.130,0.195,0.208,0.573,0.065,0.000,0.143,0.116
0.652,0.676,0.590,0.584,0.567,0.560,0.539,0.584,0.526,0.157,0.283,0.215,0.188,0.232
0.266,0.164,0.191,0.352,0.232,0.294,0.232,0.242,0.201,0.433,0.102,0.058,0.126,0.174
0.809,0.720,0.737,0.703,0.652,0.573,0.464,0.526,0.556,0.304,0.304,0.300,0.283,0.488
0.522,0.498,0.532,0.502,0.577,0.515,0.451,0.413,0.304,0.280,0.307,0.205,0.171,0.078
0.270,0.375,0.270,0.270,0.181,0.160,0.328,0.167,0.222,0.522,0.133,0.157,0.106,0.099
